article_slug,prerequisite_slug,relationship_type,importance
why-frameworks-matter-in-research-education-and-strategic-communication,what-are-content-frameworks,foundation,high
what-makes-a-powerful-content-framework,what-are-content-frameworks,foundation,high
framework-literacy-and-the-structure-of-usable-knowledge,what-are-content-frameworks,foundation,high
pillar-pages-and-topic-clusters,what-are-content-frameworks,foundation,high
narrative-pathways-and-knowledge-architecture,pillar-pages-and-topic-clusters,prerequisite,high
frameworks-for-digital-knowledge-systems,pillar-pages-and-topic-clusters,prerequisite,high
taxonomy-design-for-content-frameworks,frameworks-for-digital-knowledge-systems,prerequisite,medium
internal-linking-as-framework-infrastructure,taxonomy-design-for-content-frameworks,prerequisite,medium
content-audits-and-framework-governance,internal-linking-as-framework-infrastructure,prerequisite,medium
content-audits-and-framework-governance,editorial-metadata-and-content-systems,related_governance,low
editorial-metadata-and-content-systems,content-audits-and-framework-governance,prerequisite,medium
educational-scaffolding-and-the-design-of-learning-systems,what-are-content-frameworks,foundation,high
educational-scaffolding-and-the-design-of-learning-systems,editorial-metadata-and-content-systems,system_support,medium
conceptual-models-in-communication,educational-scaffolding-and-the-design-of-learning-systems,prerequisite,medium
frameworks-for-research-communication,conceptual-models-in-communication,prerequisite,high
curriculum-pathways-and-framework-design,educational-scaffolding-and-the-design-of-learning-systems,prerequisite,high
evidence-architecture-in-explanatory-content,frameworks-for-research-communication,prerequisite,high
