"slug","outgoing_links","incoming_links","total_link_degree","network_role"
"aida-and-the-logic-of-persuasive-sequence",0,1,1,"thinly linked"
"framework-governance-and-editorial-maintenance",0,1,1,"thinly linked"
"framework-literacy-and-the-structure-of-usable-knowledge",0,1,1,"thinly linked"
"frameworks-for-digital-knowledge-systems",0,0,0,"thinly linked"
"frameworks-templates-and-models",0,1,1,"thinly linked"
"narrative-pathways-and-knowledge-architecture",0,0,0,"thinly linked"
"pillar-pages-and-topic-clusters",0,1,1,"thinly linked"
"swot-analysis-strengths-uses-and-limits",0,1,1,"thinly linked"
"the-history-of-framework-thinking-in-communication-and-strategy",7,0,7,"hub"
"what-are-content-frameworks",0,1,1,"thinly linked"
"what-makes-a-powerful-content-framework",0,0,0,"thinly linked"
"why-frameworks-matter-in-research-education-and-strategic-communication",0,0,0,"thinly linked"
