slug,title,cluster,status,article_role,priority,review_owner,architecture_role,outgoing_links,incoming_links,total_link_degree,metadata_completion,missing_metadata,linked_from_pillar,links_to_pillar,readiness,reachable_from_pillar_within_4_steps
pillar-pages-and-topic-clusters,Pillar Pages and Topic Clusters,Knowledge Architecture,published,pillar,high,Knowledge architect,pillar,9,6,15,1.0,none,False,False,ready,True
narrative-pathways-and-knowledge-architecture,Narrative Pathways and Knowledge Architecture,Knowledge Architecture,published,method,high,Knowledge architect,well-connected cluster article,1,1,2,1.0,none,True,True,ready,True
frameworks-for-digital-knowledge-systems,Frameworks for Digital Knowledge Systems,Knowledge Architecture,published,technical,high,Knowledge architect,well-connected cluster article,2,1,3,1.0,none,True,True,ready,True
taxonomy-design-for-content-frameworks,Taxonomy Design for Content Frameworks,Knowledge Architecture,planned,method,high,Knowledge architect,well-connected cluster article,1,1,2,0.0,excerpt; tags; github_url; image_alt; references; last_reviewed; series_context; footer_navigation,True,True,planned,True
internal-linking-as-framework-infrastructure,Internal Linking as Framework Infrastructure,Knowledge Architecture,planned,technical,high,Knowledge architect,well-connected cluster article,1,1,2,0.0,excerpt; tags; github_url; image_alt; references; last_reviewed; series_context; footer_navigation,True,True,planned,True
content-audits-and-framework-governance,Content Audits and Framework Governance,Knowledge Architecture,planned,governance,high,Editorial governance lead,well-connected cluster article,2,1,3,0.0,excerpt; tags; github_url; image_alt; references; last_reviewed; series_context; footer_navigation,True,True,planned,True
editorial-metadata-and-content-systems,Editorial Metadata and Content Systems,Knowledge Architecture,planned,technical,high,Editorial systems lead,well-connected cluster article,1,2,3,0.0,excerpt; tags; github_url; image_alt; references; last_reviewed; series_context; footer_navigation,True,True,planned,True
what-are-content-frameworks,What Are Content Frameworks,Foundations,published,definition,high,Series editor,pillar-linked cluster article,0,1,1,1.0,none,True,False,link review required,True
framework-literacy-and-the-structure-of-usable-knowledge,Framework Literacy and the Structure of Usable Knowledge,Foundations,published,critique,high,Series editor,pillar-linked cluster article,0,1,1,1.0,none,True,False,link review required,True
frameworks-templates-and-models,Frameworks Templates and Models,Foundations,published,comparison,high,Series editor,orphan,0,0,0,1.0,none,False,False,link review required,False
the-history-of-framework-thinking-in-communication-and-strategy,The History of Framework Thinking in Communication and Strategy,Foundations,published,history,medium,Series editor,pillar-linked cluster article,0,1,1,1.0,none,True,False,link review required,True
framework-governance-and-editorial-maintenance,Framework Governance and Editorial Maintenance,Framework Composition Scaling and Editorial Governance,planned,governance,medium,Editorial governance lead,weakly connected article,0,1,1,0.0,excerpt; tags; github_url; image_alt; references; last_reviewed; series_context; footer_navigation,False,False,planned,True
