category_id,category_name,parent_category_id,category_type,relationship_type,status,primary_item_count,secondary_item_count,facet_item_count,total_assignment_count,category_status,category_definition,boundary_notes,governance_owner
CAT001,Foundations,none,topic,broader,active,6,0,0,6,active,Definitions principles literacy distinctions and history,Includes foundational definitions history and conceptual distinctions but excludes implementation-specific architecture,Series editor
CAT002,Knowledge Architecture,none,topic,broader,active,6,0,0,6,active,Pillar pages topic clusters narrative pathways digital systems taxonomies metadata and links,Includes content-system architecture and structural publishing logic,Knowledge architect
CAT003,Educational Research and Conceptual Frameworks,none,topic,broader,active,0,0,0,0,thin category review,Learning scaffolds conceptual models evidence architecture and research communication,Includes education and research communication frameworks,Research editor
CAT004,Classic Communication and Persuasive Sequence Frameworks,none,topic,broader,active,0,0,0,0,thin category review,AIDA PAS BAB 5W1H response models storytelling and persuasion ethics,Includes persuasive and explanatory sequence models,Communication editor
CAT005,Audience Need Value Positioning and Message Architecture,none,topic,broader,active,0,0,0,0,thin category review,Audience need positioning personas message houses and journey structures,Includes audience and message architecture frameworks,Strategy editor
CAT006,Strategic and Environmental Analysis Frameworks,none,topic,broader,active,0,0,0,0,thin category review,SWOT PESTLE competitive framing measurement and theory of change,Includes strategic analysis frameworks,Strategy editor
CAT007,Policy Governance Systems Explanation and Public Reasoning,none,topic,broader,active,0,0,0,0,thin category review,Governance communication sustainability systems explanation and democratic understanding,Includes public reasoning and policy explanation frameworks,Governance editor
CAT008,Framework Composition Scaling and Editorial Governance,none,topic,broader,active,2,0,0,2,active,Composition scaling limits maintenance drift and AI-assisted design,Includes governance scaling drift maintenance and AI-assisted design,Editorial governance lead
CAT009,Definition Article,none,article_role,related,active,0,0,1,1,thin category review,Article that defines a core concept,Used for articles introducing foundational terms,Series editor
CAT010,Method Article,none,article_role,related,active,0,0,3,3,thin category review,Article that explains a practical or analytical method,Used for method and process articles,Knowledge architect
CAT011,Technical Article,none,article_role,related,active,0,0,3,3,thin category review,Article with implementation systems or computational focus,Used for code metadata schemas or system design,Editorial systems lead
CAT012,Governance Article,none,article_role,related,active,0,0,2,2,thin category review,Article focused on maintenance accountability and review,Used for governance audit and editorial maintenance articles,Editorial governance lead
CAT013,Deprecated Internal Pathways Label,none,topic,related,deprecated,0,0,0,0,deprecated,Deprecated early label that should not be used,Legacy term retained only for audit demonstration,Editorial governance lead
