slug,title,status,article_role,reader_stage,primary_category_count,secondary_category_count,facet_assignment_count,tag_count,tags,taxonomy_metadata_completion,missing_taxonomy_metadata,assignment_status,review_owner
what-are-content-frameworks,What Are Content Frameworks,published,definition,foundation,1,0,1,4,content frameworks; definition; knowledge structure; editorial systems,1.0,none,ready,Series editor
why-frameworks-matter-in-research-education-and-strategic-communication,Why Frameworks Matter in Research Education and Strategic Communication,published,foundation,foundation,1,0,0,4,research communication; education; strategic communication; frameworks,1.0,none,ready,Series editor
what-makes-a-powerful-content-framework,What Makes a Powerful Content Framework,published,method,intermediate,1,0,1,4,framework quality; clarity; evidence alignment; governance,1.0,none,ready,Series editor
framework-literacy-and-the-structure-of-usable-knowledge,Framework Literacy and the Structure of Usable Knowledge,published,critique,intermediate,1,0,0,4,framework literacy; usable knowledge; critical judgment; limits,1.0,none,ready,Series editor
frameworks-templates-and-models,Frameworks Templates and Models,published,comparison,intermediate,1,0,0,5,frameworks; templates; models; methods; distinctions,1.0,none,ready,Series editor
the-history-of-framework-thinking-in-communication-and-strategy,The History of Framework Thinking in Communication and Strategy,published,history,context,1,0,0,5,history; communication; strategy; management; education,1.0,none,ready,Series editor
pillar-pages-and-topic-clusters,Pillar Pages and Topic Clusters,published,pillar,foundation,1,0,0,4,pillar pages; topic clusters; knowledge architecture; internal linking,1.0,none,ready,Knowledge architect
narrative-pathways-and-knowledge-architecture,Narrative Pathways and Knowledge Architecture,published,method,intermediate,1,0,1,4,narrative pathways; knowledge architecture; reader pathways; internal links,1.0,none,ready,Knowledge architect
frameworks-for-digital-knowledge-systems,Frameworks for Digital Knowledge Systems,published,technical,intermediate,1,0,1,5,digital knowledge systems; metadata; taxonomy; repositories; governance,1.0,none,ready,Knowledge architect
taxonomy-design-for-content-frameworks,Taxonomy Design for Content Frameworks,published,method,intermediate,1,0,1,6,taxonomy design; categories; metadata; tags; governance; knowledge architecture,1.0,none,ready,Knowledge architect
internal-linking-as-framework-infrastructure,Internal Linking as Framework Infrastructure,planned,technical,intermediate,1,0,1,4,internal linking; semantic links; reader pathways; knowledge architecture,0.875,last_reviewed,ready,Knowledge architect
content-audits-and-framework-governance,Content Audits and Framework Governance,planned,governance,advanced,1,0,1,4,content audits; governance; metadata; maintenance,0.875,last_reviewed,ready,Editorial governance lead
editorial-metadata-and-content-systems,Editorial Metadata and Content Systems,planned,technical,advanced,1,0,1,4,metadata; content systems; schemas; editorial workflows,0.875,last_reviewed,ready,Editorial systems lead
framework-governance-and-editorial-maintenance,Framework Governance and Editorial Maintenance,planned,governance,advanced,1,0,1,4,framework governance; maintenance; drift; editorial review,0.875,last_reviewed,ready,Editorial governance lead
