"slug","outgoing_links","incoming_links","total_link_degree","network_role"
"educational-scaffolding-and-the-design-of-learning-systems",0,1,1,"thinly linked"
"evidence-architecture-in-explanatory-content",0,1,1,"thinly linked"
"framework-literacy-and-the-structure-of-usable-knowledge",0,0,0,"thinly linked"
"frameworks-for-digital-knowledge-systems",0,1,1,"thinly linked"
"frameworks-for-research-communication",1,1,2,"thinly linked"
"frameworks-templates-and-models",0,0,0,"thinly linked"
"history-of-framework-thinking-in-communication-and-strategy",0,0,0,"thinly linked"
"message-house-and-the-architecture-of-strategic-messaging",0,1,1,"thinly linked"
"narrative-pathways-and-knowledge-architecture",0,0,0,"thinly linked"
"pillar-pages-and-topic-clusters",1,1,2,"thinly linked"
"taxonomy-design-for-content-frameworks",0,0,0,"thinly linked"
"what-are-content-frameworks",1,1,2,"thinly linked"
"what-makes-a-powerful-content-framework",0,1,1,"thinly linked"
"why-frameworks-matter-in-research-education-and-strategic-communication",6,1,7,"hub"
