framework_id,framework_name,domain,primary_use,total_score,average_score,product_readiness,risk_severity,risk_if_misused
FV009,Public Reasoning Framework,Public Reasoning,Support civic understanding and deliberation,38,4.75,ready,low,Framework may be used to narrow public debate
FV008,Evidence Architecture,Research,Connect claims support citations and limits,37,4.625,ready,low,Structure may hide contested interpretation
FV004,Article Map,Digital Publishing,Organize a knowledge series,36,4.5,ready,low,Map may become outdated or overbuilt
FV005,Content Audit Framework,Editorial Governance,Identify gaps duplication and stale content,36,4.5,ready,low,Metrics may replace judgment
FV007,Curriculum Pathway,Education,Structure prerequisite and advanced learning,35,4.375,ready,medium,Learner diversity may be ignored
FV001,Research Communication Framework,Research,Move from evidence to interpretation,34,4.25,ready,medium,Findings may be overstated or uncertainty hidden
FV002,Educational Scaffolding,Education,Sequence learning and reduce overload,33,4.125,ready,medium,Learning pathways may become too rigid
FV003,Message House,Strategic Communication,Align claims proof points and audience messages,32,4.0,ethical review needed,medium,Talking points may replace evidence
FV006,Audience Journey Framework,Strategic Communication,Sequence awareness learning trust and action,31,3.875,ethical review needed,medium,Audience behavior may be oversimplified
FV010,Persuasive Sequence Framework,Strategic Communication,Sequence attention interest desire and action,26,3.25,ethical review needed,high,Persuasive structure may become manipulative
