"slug","title","cluster","status","article_role","pathway_role","reader_state","outgoing_links","incoming_links","total_link_degree","network_role","metadata_completion","metadata_status","has_series_context","links_to_article_map","has_transition_links","has_next_step","orientation_ready","bridge_ready","editorial_status"
"content-audits-and-framework-governance","Content Audits and Framework Governance","Knowledge Architecture","planned","governance","maintenance","editor",1,0,1,"thinly linked article",0,"needs metadata work","no","no","no","no",FALSE,FALSE,"planned"
"editorial-metadata-and-content-systems","Editorial Metadata and Content Systems","Knowledge Architecture","planned","technical","metadata_systems","editor",0,2,2,"connected article",0,"needs metadata work","no","no","no","no",FALSE,FALSE,"planned"
"framework-governance-and-editorial-maintenance","Framework Governance and Editorial Maintenance","Framework Composition Scaling and Editorial Governance","planned","governance","governance","editor",0,1,1,"thinly linked article",0,"needs metadata work","no","no","no","no",FALSE,FALSE,"planned"
"framework-literacy-and-the-structure-of-usable-knowledge","Framework Literacy and the Structure of Usable Knowledge","Foundations","published","critique","critical_pathway","returning_reader",1,2,3,"connected article",1,"ready","yes","yes","yes","yes",TRUE,TRUE,"ready"
"frameworks-for-digital-knowledge-systems","Frameworks for Digital Knowledge Systems","Knowledge Architecture","published","technical","digital_systems","practitioner",2,2,4,"connected article",1,"ready","yes","yes","yes","yes",TRUE,TRUE,"ready"
"frameworks-templates-and-models","Frameworks Templates and Models","Foundations","published","comparison","distinction","practitioner",1,1,2,"connected article",1,"ready","yes","yes","yes","yes",TRUE,TRUE,"ready"
"internal-linking-as-framework-infrastructure","Internal Linking as Framework Infrastructure","Knowledge Architecture","planned","technical","link_infrastructure","editor",0,1,1,"thinly linked article",0,"needs metadata work","no","no","no","no",FALSE,FALSE,"planned"
"narrative-pathways-and-knowledge-architecture","Narrative Pathways and Knowledge Architecture","Knowledge Architecture","published","method","pathway_design","practitioner",7,2,9,"pathway hub",1,"ready","yes","yes","yes","yes",TRUE,TRUE,"ready"
"pillar-pages-and-topic-clusters","Pillar Pages and Topic Clusters","Knowledge Architecture","published","pillar","architecture","beginner",2,2,4,"connected article",1,"ready","yes","yes","yes","yes",TRUE,TRUE,"ready"
"taxonomy-design-for-content-frameworks","Taxonomy Design for Content Frameworks","Knowledge Architecture","planned","method","taxonomy_design","editor",0,0,0,"thinly linked article",0,"needs metadata work","no","no","no","no",FALSE,FALSE,"planned"
"the-history-of-framework-thinking-in-communication-and-strategy","The History of Framework Thinking in Communication and Strategy","Foundations","published","history","context","researcher",1,1,2,"connected article",1,"ready","yes","yes","yes","yes",TRUE,TRUE,"ready"
"what-are-content-frameworks","What Are Content Frameworks","Foundations","published","definition","foundation","beginner",1,1,2,"connected article",1,"ready","yes","yes","yes","yes",TRUE,TRUE,"ready"
"what-makes-a-powerful-content-framework","What Makes a Powerful Content Framework","Foundations","published","method","quality_review","practitioner",1,1,2,"connected article",1,"ready","yes","yes","yes","yes",TRUE,TRUE,"ready"
"why-frameworks-matter-in-research-education-and-strategic-communication","Why Frameworks Matter in Research Education and Strategic Communication","Foundations","published","foundation","foundation","beginner",1,1,2,"connected article",1,"ready","yes","yes","yes","yes",TRUE,TRUE,"ready"
