slug,title,cluster,status,article_role,pathway_role,reader_state,review_owner,incoming_links,outgoing_links,total_link_degree,metadata_completion,missing_metadata,orientation_ready,bridge_ready,readiness
what-are-content-frameworks,What Are Content Frameworks,Foundations,published,definition,foundation,beginner,Series editor,1,1,2,1.0,none,True,True,ready
why-frameworks-matter-in-research-education-and-strategic-communication,Why Frameworks Matter in Research Education and Strategic Communication,Foundations,published,foundation,foundation,beginner,Series editor,1,1,2,1.0,none,True,True,ready
what-makes-a-powerful-content-framework,What Makes a Powerful Content Framework,Foundations,published,method,quality_review,practitioner,Series editor,1,1,2,1.0,none,True,True,ready
framework-literacy-and-the-structure-of-usable-knowledge,Framework Literacy and the Structure of Usable Knowledge,Foundations,published,critique,critical_pathway,returning_reader,Series editor,2,1,3,1.0,none,True,True,ready
frameworks-templates-and-models,Frameworks Templates and Models,Foundations,published,comparison,distinction,practitioner,Series editor,1,1,2,1.0,none,True,True,ready
the-history-of-framework-thinking-in-communication-and-strategy,The History of Framework Thinking in Communication and Strategy,Foundations,published,history,context,researcher,Series editor,1,1,2,1.0,none,True,True,ready
pillar-pages-and-topic-clusters,Pillar Pages and Topic Clusters,Knowledge Architecture,published,pillar,architecture,beginner,Knowledge architect,2,2,4,1.0,none,True,True,ready
narrative-pathways-and-knowledge-architecture,Narrative Pathways and Knowledge Architecture,Knowledge Architecture,published,method,pathway_design,practitioner,Knowledge architect,2,7,9,1.0,none,True,True,ready
frameworks-for-digital-knowledge-systems,Frameworks for Digital Knowledge Systems,Knowledge Architecture,published,technical,digital_systems,practitioner,Knowledge architect,2,2,4,1.0,none,True,True,ready
taxonomy-design-for-content-frameworks,Taxonomy Design for Content Frameworks,Knowledge Architecture,planned,method,taxonomy_design,editor,Knowledge architect,0,0,0,0.0,excerpt; tags; github_url; image_alt; references; last_reviewed; series_context; footer_navigation,False,False,planned
internal-linking-as-framework-infrastructure,Internal Linking as Framework Infrastructure,Knowledge Architecture,planned,technical,link_infrastructure,editor,Knowledge architect,1,0,1,0.0,excerpt; tags; github_url; image_alt; references; last_reviewed; series_context; footer_navigation,False,False,planned
content-audits-and-framework-governance,Content Audits and Framework Governance,Knowledge Architecture,planned,governance,maintenance,editor,Editorial governance lead,0,1,1,0.0,excerpt; tags; github_url; image_alt; references; last_reviewed; series_context; footer_navigation,False,False,planned
editorial-metadata-and-content-systems,Editorial Metadata and Content Systems,Knowledge Architecture,planned,technical,metadata_systems,editor,Editorial systems lead,2,0,2,0.0,excerpt; tags; github_url; image_alt; references; last_reviewed; series_context; footer_navigation,False,False,planned
framework-governance-and-editorial-maintenance,Framework Governance and Editorial Maintenance,Framework Composition Scaling and Editorial Governance,planned,governance,governance,editor,Editorial governance lead,1,0,1,0.0,excerpt; tags; github_url; image_alt; references; last_reviewed; series_context; footer_navigation,False,False,planned
