"slug","title","cluster","status","article_role","pathway_role","reader_state","outgoing_links","incoming_links","total_link_degree","network_role"
"content-audits-and-framework-governance","Content Audits and Framework Governance","Knowledge Architecture","planned","governance","maintenance","editor",1,0,1,"thinly linked article"
"editorial-metadata-and-content-systems","Editorial Metadata and Content Systems","Knowledge Architecture","planned","technical","metadata_systems","editor",0,2,2,"connected article"
"framework-governance-and-editorial-maintenance","Framework Governance and Editorial Maintenance","Framework Composition Scaling and Editorial Governance","planned","governance","governance","editor",0,1,1,"thinly linked article"
"framework-literacy-and-the-structure-of-usable-knowledge","Framework Literacy and the Structure of Usable Knowledge","Foundations","published","critique","critical_pathway","returning_reader",1,2,3,"connected article"
"frameworks-for-digital-knowledge-systems","Frameworks for Digital Knowledge Systems","Knowledge Architecture","published","technical","digital_systems","practitioner",2,2,4,"connected article"
"frameworks-templates-and-models","Frameworks Templates and Models","Foundations","published","comparison","distinction","practitioner",1,1,2,"connected article"
"internal-linking-as-framework-infrastructure","Internal Linking as Framework Infrastructure","Knowledge Architecture","planned","technical","link_infrastructure","editor",0,1,1,"thinly linked article"
"narrative-pathways-and-knowledge-architecture","Narrative Pathways and Knowledge Architecture","Knowledge Architecture","published","method","pathway_design","practitioner",7,2,9,"pathway hub"
"pillar-pages-and-topic-clusters","Pillar Pages and Topic Clusters","Knowledge Architecture","published","pillar","architecture","beginner",2,2,4,"connected article"
"taxonomy-design-for-content-frameworks","Taxonomy Design for Content Frameworks","Knowledge Architecture","planned","method","taxonomy_design","editor",0,0,0,"thinly linked article"
"the-history-of-framework-thinking-in-communication-and-strategy","The History of Framework Thinking in Communication and Strategy","Foundations","published","history","context","researcher",1,1,2,"connected article"
"what-are-content-frameworks","What Are Content Frameworks","Foundations","published","definition","foundation","beginner",1,1,2,"connected article"
"what-makes-a-powerful-content-framework","What Makes a Powerful Content Framework","Foundations","published","method","quality_review","practitioner",1,1,2,"connected article"
"why-frameworks-matter-in-research-education-and-strategic-communication","Why Frameworks Matter in Research Education and Strategic Communication","Foundations","published","foundation","foundation","beginner",1,1,2,"connected article"
