"slug","content_id","title","cluster","status","content_type","article_role","review_current","review_owner","public_use_level","metadata_completion","metadata_status","outgoing_links","incoming_links","total_link_degree","link_status","repository_url","repository_score","repository_status","coverage_score","link_score","review_score","taxonomy_score","system_health_score","system_health_status"
"content-audits-and-framework-governance","DKS007","Content Audits and Framework Governance","Knowledge Architecture","planned","article","governance","no","Editorial governance lead","editorial",0,"needs metadata work",1,1,2,"connected","https://github.com/Content-Catalyst-LLC/content-frameworks-code/tree/main/articles/content-audits-and-framework-governance",0,"review required",0.5,0.5,0,1,0.3333,"review required"
"content-frameworks","DKS001","Content Frameworks","Foundations","published","article_map","pillar","yes","Series editor","public",1,"ready",0,1,1,"link review required","https://github.com/Content-Catalyst-LLC/content-frameworks-code",1,"ready",1,0.25,1,1,0.875,"ready"
"editorial-metadata-and-content-systems","DKS008","Editorial Metadata and Content Systems","Knowledge Architecture","planned","article","technical","no","Editorial systems lead","editorial",0,"needs metadata work",1,1,2,"connected","https://github.com/Content-Catalyst-LLC/content-frameworks-code/tree/main/articles/editorial-metadata-and-content-systems",0,"review required",0.5,0.5,0,1,0.3333,"review required"
"framework-governance-and-editorial-maintenance","DKS009","Framework Governance and Editorial Maintenance","Framework Composition Scaling and Editorial Governance","planned","article","governance","no","Editorial governance lead","editorial",0,"needs metadata work",0,1,1,"link review required",NA,0,NA,0.5,0.25,0,1,0.2917,"review required"
"framework-literacy-and-the-structure-of-usable-knowledge","DKS011","Framework Literacy and the Structure of Usable Knowledge","Foundations","published","article","critique","yes","Series editor","public",1,"ready",0,1,1,"link review required",NA,0,NA,1,0.25,1,1,0.7083,"developing"
"frameworks-for-digital-knowledge-systems","DKS004","Frameworks for Digital Knowledge Systems","Knowledge Architecture","published","article","technical","yes","Knowledge architect","public",1,"ready",9,6,15,"well connected","https://github.com/Content-Catalyst-LLC/content-frameworks-code/tree/main/articles/frameworks-for-digital-knowledge-systems",1,"ready",1,1,1,1,1,"ready"
"frameworks-templates-and-models","DKS012","Frameworks Templates and Models","Foundations","published","article","comparison","yes","Series editor","public",1,"ready",0,0,0,"link review required",NA,0,NA,1,0,1,1,0.6667,"developing"
"internal-linking-as-framework-infrastructure","DKS006","Internal Linking as Framework Infrastructure","Knowledge Architecture","planned","article","technical","no","Knowledge architect","public",0,"needs metadata work",1,1,2,"connected","https://github.com/Content-Catalyst-LLC/content-frameworks-code/tree/main/articles/internal-linking-as-framework-infrastructure",0,"review required",0.5,0.5,0,1,0.3333,"review required"
"narrative-pathways-and-knowledge-architecture","DKS003","Narrative Pathways and Knowledge Architecture","Knowledge Architecture","published","article","method","yes","Knowledge architect","public",1,"ready",1,1,2,"connected","https://github.com/Content-Catalyst-LLC/content-frameworks-code/tree/main/articles/narrative-pathways-and-knowledge-architecture",1,"ready",1,0.5,1,1,0.9167,"ready"
"pillar-pages-and-topic-clusters","DKS002","Pillar Pages and Topic Clusters","Knowledge Architecture","published","article","pillar","yes","Knowledge architect","public",1,"ready",1,1,2,"connected","https://github.com/Content-Catalyst-LLC/content-frameworks-code/tree/main/articles/pillar-pages-and-topic-clusters",1,"ready",1,0.5,1,1,0.9167,"ready"
"taxonomy-design-for-content-frameworks","DKS005","Taxonomy Design for Content Frameworks","Knowledge Architecture","planned","article","method","no","Knowledge architect","public",0,"needs metadata work",1,1,2,"connected","https://github.com/Content-Catalyst-LLC/content-frameworks-code/tree/main/articles/taxonomy-design-for-content-frameworks",0,"review required",0.5,0.5,0,1,0.3333,"review required"
"what-are-content-frameworks","DKS010","What Are Content Frameworks","Foundations","published","article","definition","yes","Series editor","public",1,"ready",0,0,0,"link review required",NA,0,NA,1,0,1,1,0.6667,"developing"
