"slug","title","status","completed_fields","required_fields","metadata_completion","metadata_status"
"content-frameworks","Content Frameworks","published",8,8,1,"ready"
"pillar-pages-and-topic-clusters","Pillar Pages and Topic Clusters","published",8,8,1,"ready"
"narrative-pathways-and-knowledge-architecture","Narrative Pathways and Knowledge Architecture","published",8,8,1,"ready"
"frameworks-for-digital-knowledge-systems","Frameworks for Digital Knowledge Systems","published",8,8,1,"ready"
"taxonomy-design-for-content-frameworks","Taxonomy Design for Content Frameworks","planned",0,8,0,"needs metadata work"
"internal-linking-as-framework-infrastructure","Internal Linking as Framework Infrastructure","planned",0,8,0,"needs metadata work"
"content-audits-and-framework-governance","Content Audits and Framework Governance","planned",0,8,0,"needs metadata work"
"editorial-metadata-and-content-systems","Editorial Metadata and Content Systems","planned",0,8,0,"needs metadata work"
"framework-governance-and-editorial-maintenance","Framework Governance and Editorial Maintenance","planned",0,8,0,"needs metadata work"
"what-are-content-frameworks","What Are Content Frameworks","published",8,8,1,"ready"
"framework-literacy-and-the-structure-of-usable-knowledge","Framework Literacy and the Structure of Usable Knowledge","published",8,8,1,"ready"
"frameworks-templates-and-models","Frameworks Templates and Models","published",8,8,1,"ready"
