slug,title,cluster,status,content_type,article_role,public_use_level,review_owner,metadata_completion,missing_metadata,outgoing_links,incoming_links,total_link_degree,taxonomy_ready,repository_readiness,missing_repository_fields,review_current,system_health_score,system_health_status
content-frameworks,Content Frameworks,Foundations,published,article_map,pillar,public,Series editor,1.0,none,0,1,1,True,1.0,none,True,0.9167,ready
pillar-pages-and-topic-clusters,Pillar Pages and Topic Clusters,Knowledge Architecture,published,article,pillar,public,Knowledge architect,1.0,none,1,1,2,True,1.0,none,True,1.0,ready
narrative-pathways-and-knowledge-architecture,Narrative Pathways and Knowledge Architecture,Knowledge Architecture,published,article,method,public,Knowledge architect,1.0,none,1,1,2,True,1.0,none,True,1.0,ready
frameworks-for-digital-knowledge-systems,Frameworks for Digital Knowledge Systems,Knowledge Architecture,published,article,technical,public,Knowledge architect,1.0,none,9,6,15,True,1.0,none,True,1.0,ready
taxonomy-design-for-content-frameworks,Taxonomy Design for Content Frameworks,Knowledge Architecture,planned,article,method,public,Knowledge architect,0.0,excerpt; tags; github_url; image_alt; references; last_reviewed; series_context; footer_navigation,1,1,2,True,0.0,repository_exists; readme_exists; python_workflow; r_workflow; sql_schema; workflow_outputs_exist; governance_docs,False,0.4167,review required
internal-linking-as-framework-infrastructure,Internal Linking as Framework Infrastructure,Knowledge Architecture,planned,article,technical,public,Knowledge architect,0.0,excerpt; tags; github_url; image_alt; references; last_reviewed; series_context; footer_navigation,1,1,2,True,0.0,repository_exists; readme_exists; python_workflow; r_workflow; sql_schema; workflow_outputs_exist; governance_docs,False,0.4167,review required
content-audits-and-framework-governance,Content Audits and Framework Governance,Knowledge Architecture,planned,article,governance,editorial,Editorial governance lead,0.0,excerpt; tags; github_url; image_alt; references; last_reviewed; series_context; footer_navigation,1,1,2,True,0.0,repository_exists; readme_exists; python_workflow; r_workflow; sql_schema; workflow_outputs_exist; governance_docs,False,0.4167,review required
editorial-metadata-and-content-systems,Editorial Metadata and Content Systems,Knowledge Architecture,planned,article,technical,editorial,Editorial systems lead,0.0,excerpt; tags; github_url; image_alt; references; last_reviewed; series_context; footer_navigation,1,1,2,True,0.0,repository_exists; readme_exists; python_workflow; r_workflow; sql_schema; workflow_outputs_exist; governance_docs,False,0.4167,review required
framework-governance-and-editorial-maintenance,Framework Governance and Editorial Maintenance,Framework Composition Scaling and Editorial Governance,planned,article,governance,editorial,Editorial governance lead,0.0,excerpt; tags; github_url; image_alt; references; last_reviewed; series_context; footer_navigation,0,1,1,True,0.0,repository_exists; readme_exists; python_workflow; r_workflow; sql_schema; workflow_outputs_exist; governance_docs,False,0.3333,review required
what-are-content-frameworks,What Are Content Frameworks,Foundations,published,article,definition,public,Series editor,1.0,none,0,0,0,True,0.0,repository_exists; readme_exists; python_workflow; r_workflow; sql_schema; workflow_outputs_exist; governance_docs,True,0.6667,developing
framework-literacy-and-the-structure-of-usable-knowledge,Framework Literacy and the Structure of Usable Knowledge,Foundations,published,article,critique,public,Series editor,1.0,none,0,1,1,True,0.0,repository_exists; readme_exists; python_workflow; r_workflow; sql_schema; workflow_outputs_exist; governance_docs,True,0.75,ready
frameworks-templates-and-models,Frameworks Templates and Models,Foundations,published,article,comparison,public,Series editor,1.0,none,0,0,0,True,0.0,repository_exists; readme_exists; python_workflow; r_workflow; sql_schema; workflow_outputs_exist; governance_docs,True,0.6667,developing
