slug,completed_relationship_fields,required_relationship_fields,relationship_completeness_score,relationship_status
what-are-content-frameworks,7,7,1.0,ready
why-frameworks-matter-in-research-education-and-strategic-communication,7,7,1.0,ready
what-makes-a-powerful-content-framework,7,7,1.0,ready
pillar-pages-and-topic-clusters,7,7,1.0,ready
narrative-pathways-and-knowledge-architecture,7,7,1.0,ready
frameworks-for-digital-knowledge-systems,7,7,1.0,ready
taxonomy-design-for-content-frameworks,7,7,1.0,ready
internal-linking-as-framework-infrastructure,7,7,1.0,ready
content-audits-and-framework-governance,7,7,1.0,ready
editorial-metadata-and-content-systems,7,7,1.0,ready
educational-scaffolding-and-the-design-of-learning-systems,7,7,1.0,ready
