slug,repository_url,repository_path,expected_repository_path,repository_path_aligned
what-are-content-frameworks,https://github.com/Content-Catalyst-LLC/content-frameworks-code/tree/main/articles/what-are-content-frameworks,articles/what-are-content-frameworks/,articles/what-are-content-frameworks/,True
why-frameworks-matter-in-research-education-and-strategic-communication,https://github.com/Content-Catalyst-LLC/content-frameworks-code/tree/main/articles/why-frameworks-matter-in-research-education-and-strategic-communication,articles/why-frameworks-matter-in-research-education-and-strategic-communication/,articles/why-frameworks-matter-in-research-education-and-strategic-communication/,True
what-makes-a-powerful-content-framework,https://github.com/Content-Catalyst-LLC/content-frameworks-code/tree/main/articles/what-makes-a-powerful-content-framework,articles/what-makes-a-powerful-content-framework/,articles/what-makes-a-powerful-content-framework/,True
pillar-pages-and-topic-clusters,https://github.com/Content-Catalyst-LLC/content-frameworks-code/tree/main/articles/pillar-pages-and-topic-clusters,articles/pillar-pages-and-topic-clusters/,articles/pillar-pages-and-topic-clusters/,True
narrative-pathways-and-knowledge-architecture,https://github.com/Content-Catalyst-LLC/content-frameworks-code/tree/main/articles/narrative-pathways-and-knowledge-architecture,articles/narrative-pathways-and-knowledge-architecture/,articles/narrative-pathways-and-knowledge-architecture/,True
frameworks-for-digital-knowledge-systems,https://github.com/Content-Catalyst-LLC/content-frameworks-code/tree/main/articles/frameworks-for-digital-knowledge-systems,articles/frameworks-for-digital-knowledge-systems/,articles/frameworks-for-digital-knowledge-systems/,True
taxonomy-design-for-content-frameworks,https://github.com/Content-Catalyst-LLC/content-frameworks-code/tree/main/articles/taxonomy-design-for-content-frameworks,articles/taxonomy-design-for-content-frameworks/,articles/taxonomy-design-for-content-frameworks/,True
internal-linking-as-framework-infrastructure,https://github.com/Content-Catalyst-LLC/content-frameworks-code/tree/main/articles/internal-linking-as-framework-infrastructure,articles/internal-linking-as-framework-infrastructure/,articles/internal-linking-as-framework-infrastructure/,True
content-audits-and-framework-governance,https://github.com/Content-Catalyst-LLC/content-frameworks-code/tree/main/articles/content-audits-and-framework-governance,articles/content-audits-and-framework-governance/,articles/content-audits-and-framework-governance/,True
editorial-metadata-and-content-systems,https://github.com/Content-Catalyst-LLC/content-frameworks-code/tree/main/articles/editorial-metadata-and-content-systems,articles/editorial-metadata-and-content-systems/,articles/editorial-metadata-and-content-systems/,True
educational-scaffolding-and-the-design-of-learning-systems,https://github.com/Content-Catalyst-LLC/content-frameworks-code/tree/main/articles/educational-scaffolding-and-the-design-of-learning-systems,articles/educational-scaffolding-and-the-design-of-learning-systems/,articles/educational-scaffolding-and-the-design-of-learning-systems/,True
