slug,article_type,status,last_reviewed,review_cycle_days,content_age_days,freshness_score,freshness_status
what-are-content-frameworks,foundational,published,2026-06-08,730,0,1.0,fresh
why-frameworks-matter-in-research-education-and-strategic-communication,foundational,published,2026-06-08,730,0,1.0,fresh
what-makes-a-powerful-content-framework,foundational,published,2026-06-08,730,0,1.0,fresh
pillar-pages-and-topic-clusters,methodological,published,2026-06-08,365,0,1.0,fresh
narrative-pathways-and-knowledge-architecture,methodological,published,2026-06-08,365,0,1.0,fresh
frameworks-for-digital-knowledge-systems,technical,published,2025-10-01,180,250,0.0,review overdue
taxonomy-design-for-content-frameworks,methodological,planned,2025-09-15,365,266,0.2712,fresh
internal-linking-as-framework-infrastructure,methodological,published,2026-06-08,365,0,1.0,fresh
content-audits-and-framework-governance,governance,published,2026-06-08,180,0,1.0,fresh
editorial-metadata-and-content-systems,technical,published,2026-06-08,180,0,1.0,fresh
educational-scaffolding-and-the-design-of-learning-systems,methodological,published,2026-06-08,365,0,1.0,fresh
