framework_id,framework_name,domain,primary_use,literacy_score,average_score,readiness_status,weakest_dimensions,risk_severity,primary_blind_spot
FL005,Content Audit Framework,Editorial Governance,Assess gaps duplication freshness and quality,48,4.8,framework-literate use ready,blind_spot_recognition; audience_fit,low,May overvalue measurable fields over interpretive quality
FL001,Research Communication Framework,Research,Move from evidence to interpretation,48,4.8,framework-literate use ready,audience_fit; adaptability,low,May underrepresent lived experience if evidence hierarchy is too narrow
FL004,Article Map,Digital Publishing,Organize a knowledge series,47,4.7,framework-literate use ready,blind_spot_recognition; evidence_alignment; audience_fit,low,May create artificial boundaries between related domains
FL009,Taxonomy Design Framework,Knowledge Architecture,Define categories boundaries and semantic relationships,47,4.7,framework-literate use ready,blind_spot_recognition; evidence_alignment; audience_fit,low,May harden provisional categories into fixed boundaries
FL008,Systems Explanation Framework,Public Reasoning,Explain interdependence feedback and tradeoffs,44,4.4,framework-literate use ready,blind_spot_recognition; boundary_clarity; use_condition_clarity; audience_fit; adaptability; governance_readiness,low,May underrepresent individual experience and moral urgency
FL002,Educational Scaffolding,Education,Sequence learning from foundations to application,42,4.2,risk review required,assumption_awareness; blind_spot_recognition; boundary_clarity; use_condition_clarity; evidence_alignment; ethical_safety; adaptability; governance_readiness,medium,May hide learner variation and accessibility needs
FL003,Message House,Strategic Communication,Align claims proof points and audience messages,36,3.6,ethical review required,blind_spot_recognition; use_condition_clarity; ethical_safety; adaptability; governance_readiness,medium,May hide uncertainty dissent or audience agency
FL007,Persona Framework,Audience Research,Represent audience context and needs,31,3.1,ethical review required,blind_spot_recognition,high,May reproduce stereotypes or flatten audience diversity
FL010,SWOT Analysis,Strategy,Compare strengths weaknesses opportunities and threats,31,3.1,ethical review required,assumption_awareness; blind_spot_recognition; boundary_clarity; use_condition_clarity; evidence_alignment; ethical_safety; domain_fit; adaptability; governance_readiness,medium,May encourage generic categories without evidence or prioritization
FL006,Persuasive Sequence Framework,Communication,Sequence attention interest desire and action,27,2.7,ethical review required,blind_spot_recognition; use_condition_clarity; ethical_safety; governance_readiness,high,May manipulate urgency and reduce audience agency
