"primary_blind_spot","framework_count"
"May create artificial boundaries between related domains",1
"May encourage generic categories without evidence or prioritization",1
"May harden provisional categories into fixed boundaries",1
"May hide learner variation and accessibility needs",1
"May hide uncertainty dissent or audience agency",1
"May manipulate urgency and reduce audience agency",1
"May overvalue measurable fields over interpretive quality",1
"May reproduce stereotypes or flatten audience diversity",1
"May underrepresent individual experience and moral urgency",1
"May underrepresent lived experience if evidence hierarchy is too narrow",1
