structure_id,structure_name,declared_type,observed_type,domain,purpose,organizes_reasoning,defines_categories,supports_interpretation,standardizes_fields,standardizes_format,repeatable_output,represents_relationships,uses_assumptions,explains_mechanism,defines_steps,supports_repeatable_process,produces_decision_rules,coordinates_handoffs,tracks_status,assigns_responsibility,purpose_documented,use_conditions_documented,limitations_documented,evidence_alignment_reviewed,ethical_risk_reviewed,owner_assigned,review_cycle_defined,risk_severity,risk_note
ST001,Content Framework Article Map,framework,framework,Knowledge Architecture,Organize article sequence and conceptual progression,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,yes,yes,yes,yes,yes,yes,yes,low,May create artificial boundaries if not reviewed
ST002,Article Metadata Block,template,template,Editorial Systems,Standardize article metadata fields,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,yes,yes,yes,yes,yes,yes,yes,low,May become mechanical if excerpt quality is not reviewed
ST003,Internal Link Graph,model,model,Knowledge Architecture,Represent relationships among articles,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,yes,yes,yes,yes,yes,yes,yes,low,Graph centrality may overvalue popular nodes
ST004,Content Audit Sheet,template,method,Editorial Governance,Evaluate content quality and maintenance needs,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,yes,no,yes,yes,yes,yes,no,medium,Template is being used as a method without clear procedure
ST005,Message House,framework,framework,Strategic Communication,Align claims proof points and audience messages,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,yes,yes,yes,yes,yes,yes,yes,medium,Can become talking points without evidence review
ST006,Audience Persona,model,model,Audience Research,Represent audience needs contexts and behavior,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,yes,yes,yes,no,yes,yes,no,high,Can reproduce stereotypes if evidence is weak
ST007,Publishing Checklist,template,workflow,Editorial Operations,Track article publication steps,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,yes,yes,yes,yes,yes,yes,yes,low,Checklist overlaps with workflow management
ST008,Framework Quality Review Method,method,method,Editorial Governance,Review framework clarity evidence ethics and governance,1,1,1,0,0,0,0,1,0,1,1,1,0,1,1,yes,yes,yes,yes,yes,yes,yes,low,Needs periodic calibration
ST009,Systems Explanation Diagram,model,model,Public Reasoning,Represent feedback loops and dependencies,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,yes,yes,yes,yes,yes,yes,yes,low,Can hide lived experience if overly abstract
ST010,AI Outline Prompt,template,framework,AI-Assisted Workflows,Generate candidate article structures,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,no,no,no,no,no,no,no,high,AI-generated structure may be treated as framework without review
