model_id,source_element,target_element,relationship_type,active
M001,communicator,message,encoding,yes
M001,message,channel,transmission,yes
M001,channel,audience,delivery,yes
M001,noise,message,interference,yes
M002,communicator,message,encoding,yes
M002,message,audience,delivery,yes
M002,audience,feedback,response,yes
M002,feedback,message,revision,yes
M003,communicator,message,co_creation,yes
M003,audience,message,interpretation,yes
M003,context,interpretation,conditioning,yes
M003,feedback,communicator,response,yes
M004,institutions,message,constraint,yes
M004,platform,audience,mediation,yes
M004,audience,feedback,response,yes
M004,feedback,institutions,adaptation,yes
M004,power,context,structuring,yes
M005,evidence,claim,support,yes
M005,method,evidence,production,yes
M005,uncertainty,claim,boundary,yes
M005,limitation,implication,boundary,yes
M006,orientation,sequence,entry_path,yes
M006,prerequisites,examples,preparation,yes
M006,examples,feedback,practice,yes
M006,feedback,transfer,improvement,yes
M007,communicator,message,persuasion,yes
M007,message,audience,influence,yes
