model_id,element,present,importance
M001,communicator,yes,high
M001,message,yes,high
M001,channel,yes,high
M001,audience,yes,high
M001,noise,yes,medium
M002,communicator,yes,high
M002,message,yes,high
M002,channel,yes,high
M002,audience,yes,high
M002,noise,yes,medium
M002,feedback,yes,high
M003,communicator,yes,high
M003,message,yes,high
M003,audience,yes,high
M003,context,yes,high
M003,feedback,yes,high
M003,interpretation,yes,high
M004,communicator,yes,high
M004,message,yes,high
M004,audience,yes,high
M004,context,yes,high
M004,feedback,yes,high
M004,institutions,yes,high
M004,power,yes,high
M004,platform,yes,high
M005,claim,yes,high
M005,evidence,yes,high
M005,method,yes,high
M005,uncertainty,yes,high
M005,limitation,yes,high
M005,implication,yes,high
M005,audience,yes,high
M006,orientation,yes,high
M006,sequence,yes,high
M006,prerequisites,yes,high
M006,examples,yes,high
M006,feedback,yes,high
M006,transfer,yes,high
M007,communicator,yes,high
M007,message,yes,high
M007,channel,yes,medium
M007,audience,yes,high
M007,noise,no,medium
M007,feedback,no,high
