series,slug,title,cluster,article_type,status,metadata_completion_rate,metadata_status,freshness_status,repository_path,article_map_url,github_path
Content Frameworks,what-are-content-frameworks,What Are Content Frameworks?,Foundations,foundational,published,0.96,ready,fresh,articles/what-are-content-frameworks/,/content-frameworks/,articles/what-are-content-frameworks/
Content Frameworks,why-frameworks-matter-in-research-education-and-strategic-communication,Why Frameworks Matter in Research Education and Strategic Communication,Foundations,foundational,published,1.0,ready,fresh,articles/why-frameworks-matter-in-research-education-and-strategic-communication/,/content-frameworks/,articles/why-frameworks-matter-in-research-education-and-strategic-communication/
Content Frameworks,what-makes-a-powerful-content-framework,What Makes a Powerful Content Framework?,Foundations,foundational,published,1.0,ready,fresh,articles/what-makes-a-powerful-content-framework/,/content-frameworks/,articles/what-makes-a-powerful-content-framework/
Content Frameworks,pillar-pages-and-topic-clusters,Pillar Pages and Topic Clusters,Knowledge Architecture,methodological,published,1.0,ready,fresh,articles/pillar-pages-and-topic-clusters/,/content-frameworks/,articles/pillar-pages-and-topic-clusters/
Content Frameworks,narrative-pathways-and-knowledge-architecture,Narrative Pathways and Knowledge Architecture,Knowledge Architecture,methodological,published,1.0,ready,fresh,articles/narrative-pathways-and-knowledge-architecture/,/content-frameworks/,articles/narrative-pathways-and-knowledge-architecture/
Content Frameworks,frameworks-for-digital-knowledge-systems,Frameworks for Digital Knowledge Systems,Knowledge Architecture,technical,published,1.0,ready,review overdue,articles/frameworks-for-digital-knowledge-systems/,/content-frameworks/,articles/frameworks-for-digital-knowledge-systems/
Content Frameworks,taxonomy-design-for-content-frameworks,Taxonomy Design for Content Frameworks,Knowledge Architecture,methodological,planned,0.92,ready,fresh,articles/taxonomy-design-for-content-frameworks/,/content-frameworks/,articles/taxonomy-design-for-content-frameworks/
Content Frameworks,internal-linking-as-framework-infrastructure,Internal Linking as Framework Infrastructure,Knowledge Architecture,methodological,published,1.0,ready,fresh,articles/internal-linking-as-framework-infrastructure/,/content-frameworks/,articles/internal-linking-as-framework-infrastructure/
Content Frameworks,content-audits-and-framework-governance,Content Audits and Framework Governance,Knowledge Architecture,governance,published,1.0,ready,fresh,articles/content-audits-and-framework-governance/,/content-frameworks/,articles/content-audits-and-framework-governance/
Content Frameworks,editorial-metadata-and-content-systems,Editorial Metadata and Content Systems,Knowledge Architecture,technical,published,1.0,ready,fresh,articles/editorial-metadata-and-content-systems/,/content-frameworks/,articles/editorial-metadata-and-content-systems/
Content Frameworks,educational-scaffolding-and-the-design-of-learning-systems,Educational Scaffolding and the Design of Learning Systems,Educational Research and Conceptual Frameworks,methodological,published,1.0,ready,fresh,articles/educational-scaffolding-and-the-design-of-learning-systems/,/content-frameworks/,articles/educational-scaffolding-and-the-design-of-learning-systems/
