slug,title,status,minimum_link_depth_from_hub,reachable_from_configured_hub,within_recommended_depth
content-audits-and-framework-governance,Content Audits and Framework Governance,planned,2,True,True
content-frameworks,Content Frameworks,published,0,True,True
editorial-metadata-and-content-systems,Editorial Metadata and Content Systems,planned,2,True,True
educational-scaffolding-and-the-design-of-learning-systems,Educational Scaffolding and the Design of Learning Systems,published,unreachable,False,False
framework-governance-and-editorial-maintenance,Framework Governance and Editorial Maintenance,planned,2,True,True
framework-literacy-and-the-structure-of-usable-knowledge,Framework Literacy and the Structure of Usable Knowledge,planned,unreachable,False,False
frameworks-for-digital-knowledge-systems,Frameworks for Digital Knowledge Systems,published,0,True,True
frameworks-for-research-communication,Frameworks for Research Communication,published,unreachable,False,False
frameworks-templates-and-models,Frameworks Templates and Models,planned,unreachable,False,False
history-of-framework-thinking-in-communication-and-strategy,The History of Framework Thinking in Communication and Strategy,planned,unreachable,False,False
internal-linking-as-framework-infrastructure,Internal Linking as Framework Infrastructure,published,1,True,True
message-house-and-the-architecture-of-strategic-messaging,Message House and the Architecture of Strategic Messaging,published,unreachable,False,False
narrative-pathways-and-knowledge-architecture,Narrative Pathways and Knowledge Architecture,published,unreachable,False,False
pillar-pages-and-topic-clusters,Pillar Pages and Topic Clusters,published,0,True,True
taxonomy-design-for-content-frameworks,Taxonomy Design for Content Frameworks,planned,2,True,True
what-are-content-frameworks,What Are Content Frameworks?,published,1,True,True
what-makes-a-powerful-content-framework,What Makes a Powerful Content Framework,published,unreachable,False,False
why-frameworks-matter-in-research-education-and-strategic-communication,Why Frameworks Matter in Research Education and Strategic Communication,published,1,True,True
