"slug","title","status","cluster","article_type","series_context","footer_navigation","github_url","outgoing_links","incoming_links","total_link_degree","network_role","governance_flag"
"content-audits-and-framework-governance","Content Audits and Framework Governance","planned","Knowledge Architecture","governance","no","no","no",0,2,2,"thinly linked","acceptable"
"content-frameworks","Content Frameworks","published","Article Map","pillar_map","yes","yes","yes",4,1,5,"bridge","acceptable"
"editorial-metadata-and-content-systems","Editorial Metadata and Content Systems","planned","Knowledge Architecture","technical","no","no","no",0,1,1,"thinly linked","acceptable"
"educational-scaffolding-and-the-design-of-learning-systems","Educational Scaffolding and the Design of Learning Systems","published","Educational Research and Conceptual Frameworks","method","yes","yes","yes",1,0,1,"thinly linked","review"
"framework-governance-and-editorial-maintenance","Framework Governance and Editorial Maintenance","planned","Framework Composition Scaling and Editorial Governance","governance","no","no","no",0,1,1,"thinly linked","acceptable"
"framework-literacy-and-the-structure-of-usable-knowledge","Framework Literacy and the Structure of Usable Knowledge","planned","Foundations","foundational","no","no","no",0,0,0,"orphaned","acceptable"
"frameworks-for-digital-knowledge-systems","Frameworks for Digital Knowledge Systems","published","Knowledge Architecture","method","yes","yes","yes",1,1,2,"thinly linked","review"
"frameworks-for-research-communication","Frameworks for Research Communication","published","Educational Research and Conceptual Frameworks","method","yes","yes","yes",0,1,1,"thinly linked","review"
"frameworks-templates-and-models","Frameworks Templates and Models","planned","Foundations","conceptual","no","no","no",0,0,0,"orphaned","acceptable"
"history-of-framework-thinking-in-communication-and-strategy","The History of Framework Thinking in Communication and Strategy","planned","Foundations","historical","no","no","no",0,0,0,"orphaned","acceptable"
"internal-linking-as-framework-infrastructure","Internal Linking as Framework Infrastructure","published","Knowledge Architecture","method","yes","yes","yes",8,6,14,"hub","acceptable"
"message-house-and-the-architecture-of-strategic-messaging","Message House and the Architecture of Strategic Messaging","published","Audience Need Value Positioning and Message Architecture","method","yes","yes","yes",0,0,0,"orphaned","review"
"narrative-pathways-and-knowledge-architecture","Narrative Pathways and Knowledge Architecture","published","Knowledge Architecture","bridge","yes","yes","yes",1,0,1,"thinly linked","review"
"pillar-pages-and-topic-clusters","Pillar Pages and Topic Clusters","published","Knowledge Architecture","method","yes","yes","yes",1,2,3,"connector","acceptable"
"taxonomy-design-for-content-frameworks","Taxonomy Design for Content Frameworks","planned","Knowledge Architecture","method","no","no","no",0,1,1,"thinly linked","acceptable"
"what-are-content-frameworks","What Are Content Frameworks?","published","Foundations","foundational","yes","yes","yes",1,1,2,"thinly linked","review"
"what-makes-a-powerful-content-framework","What Makes a Powerful Content Framework","published","Foundations","foundational","yes","yes","yes",0,0,0,"orphaned","review"
"why-frameworks-matter-in-research-education-and-strategic-communication","Why Frameworks Matter in Research Education and Strategic Communication","published","Foundations","foundational","yes","yes","yes",1,1,2,"thinly linked","review"
