"catalog_product","series","slug","title","cluster","status","content_type","article_role","metadata_completion","metadata_status","total_link_degree","link_status","repository_score","repository_status","system_health_score","system_health_status","github_path"
"Catalyst Canvas","Content Frameworks","content-audits-and-framework-governance","Content Audits and Framework Governance","Knowledge Architecture","planned","article","governance",0,"needs metadata work",2,"connected",0,"review required",0.3333,"review required","articles/content-audits-and-framework-governance/"
"Catalyst Canvas","Content Frameworks","content-frameworks","Content Frameworks","Foundations","published","article_map","pillar",1,"ready",1,"link review required",1,"ready",0.875,"ready","articles/content-frameworks/"
"Catalyst Canvas","Content Frameworks","editorial-metadata-and-content-systems","Editorial Metadata and Content Systems","Knowledge Architecture","planned","article","technical",0,"needs metadata work",2,"connected",0,"review required",0.3333,"review required","articles/editorial-metadata-and-content-systems/"
"Catalyst Canvas","Content Frameworks","framework-governance-and-editorial-maintenance","Framework Governance and Editorial Maintenance","Framework Composition Scaling and Editorial Governance","planned","article","governance",0,"needs metadata work",1,"link review required",0,NA,0.2917,"review required","articles/framework-governance-and-editorial-maintenance/"
"Catalyst Canvas","Content Frameworks","framework-literacy-and-the-structure-of-usable-knowledge","Framework Literacy and the Structure of Usable Knowledge","Foundations","published","article","critique",1,"ready",1,"link review required",0,NA,0.7083,"developing","articles/framework-literacy-and-the-structure-of-usable-knowledge/"
"Catalyst Canvas","Content Frameworks","frameworks-for-digital-knowledge-systems","Frameworks for Digital Knowledge Systems","Knowledge Architecture","published","article","technical",1,"ready",15,"well connected",1,"ready",1,"ready","articles/frameworks-for-digital-knowledge-systems/"
"Catalyst Canvas","Content Frameworks","frameworks-templates-and-models","Frameworks Templates and Models","Foundations","published","article","comparison",1,"ready",0,"link review required",0,NA,0.6667,"developing","articles/frameworks-templates-and-models/"
"Catalyst Canvas","Content Frameworks","internal-linking-as-framework-infrastructure","Internal Linking as Framework Infrastructure","Knowledge Architecture","planned","article","technical",0,"needs metadata work",2,"connected",0,"review required",0.3333,"review required","articles/internal-linking-as-framework-infrastructure/"
"Catalyst Canvas","Content Frameworks","narrative-pathways-and-knowledge-architecture","Narrative Pathways and Knowledge Architecture","Knowledge Architecture","published","article","method",1,"ready",2,"connected",1,"ready",0.9167,"ready","articles/narrative-pathways-and-knowledge-architecture/"
"Catalyst Canvas","Content Frameworks","pillar-pages-and-topic-clusters","Pillar Pages and Topic Clusters","Knowledge Architecture","published","article","pillar",1,"ready",2,"connected",1,"ready",0.9167,"ready","articles/pillar-pages-and-topic-clusters/"
"Catalyst Canvas","Content Frameworks","taxonomy-design-for-content-frameworks","Taxonomy Design for Content Frameworks","Knowledge Architecture","planned","article","method",0,"needs metadata work",2,"connected",0,"review required",0.3333,"review required","articles/taxonomy-design-for-content-frameworks/"
"Catalyst Canvas","Content Frameworks","what-are-content-frameworks","What Are Content Frameworks","Foundations","published","article","definition",1,"ready",0,"link review required",0,NA,0.6667,"developing","articles/what-are-content-frameworks/"
