"slug","title","status","learning_stage","required_prerequisites","published_prerequisites","prerequisite_readiness","prerequisite_status"
"conceptual-models-in-communication","Conceptual Models in Communication","published","foundation",1,1,1,"ready"
"content-audits-and-framework-governance","Content Audits and Framework Governance","published","critique",2,2,1,"ready"
"curriculum-pathways-and-framework-design","Curriculum Pathways and Framework Design","planned","transfer",1,1,1,"ready"
"editorial-metadata-and-content-systems","Editorial Metadata and Content Systems","published","method",1,1,1,"ready"
"educational-scaffolding-and-the-design-of-learning-systems","Educational Scaffolding and the Design of Learning Systems","published","method",2,2,1,"ready"
"evidence-architecture-in-explanatory-content","Evidence Architecture in Explanatory Content","planned","critique",1,1,1,"ready"
"framework-literacy-and-the-structure-of-usable-knowledge","Framework Literacy and the Structure of Usable Knowledge","planned","foundation",1,1,1,"ready"
"frameworks-for-digital-knowledge-systems","Frameworks for Digital Knowledge Systems","published","application",1,1,1,"ready"
"frameworks-for-research-communication","Frameworks for Research Communication","published","application",1,1,1,"ready"
"internal-linking-as-framework-infrastructure","Internal Linking as Framework Infrastructure","published","guided_practice",1,0,0,"needs prerequisite support"
"narrative-pathways-and-knowledge-architecture","Narrative Pathways and Knowledge Architecture","published","method",1,1,1,"ready"
"pillar-pages-and-topic-clusters","Pillar Pages and Topic Clusters","published","method",1,1,1,"ready"
"taxonomy-design-for-content-frameworks","Taxonomy Design for Content Frameworks","planned","method",1,1,1,"ready"
"what-are-content-frameworks","What Are Content Frameworks?","published","orientation",0,0,1,"ready"
"what-makes-a-powerful-content-framework","What Makes a Powerful Content Framework?","published","foundation",1,1,1,"ready"
"why-frameworks-matter-in-research-education-and-strategic-communication","Why Frameworks Matter in Research Education and Strategic Communication","published","foundation",1,1,1,"ready"
