source,severity,category,identifier,message,recommended_action
manual_review_queue,medium,cognitive_load,frameworks-for-digital-knowledge-systems,Technical article has high cognitive-load risk and should receive more summaries or guided examples,Resolve through editorial governance workflow.
automated_scaffold_audit,medium,cognitive_load,frameworks-for-digital-knowledge-systems,Published article has high cognitive-load risk.,"Add summaries, examples, prerequisite links, tables, staged explanation, or stronger orientation support."
manual_review_queue,medium,coverage,curriculum-pathways-and-framework-design,Planned transfer article should be completed to strengthen educational framework cluster,Resolve through editorial governance workflow.
manual_review_queue,medium,coverage,evidence-architecture-in-explanatory-content,Planned critique article should be completed to connect scaffolding with evidence review,Resolve through editorial governance workflow.
automated_scaffold_audit,medium,prerequisites,internal-linking-as-framework-infrastructure,Prerequisite readiness is 0%.,"Add, publish, or link prerequisite articles before promoting advanced learning content."
automated_scaffold_audit,medium,scaffold_readiness,frameworks-for-digital-knowledge-systems,"Scaffold-readiness score is 0.56, below threshold 0.78.","Review orientation, prerequisites, examples, feedback, transfer support, accessibility, and cognitive-load risk."
automated_scaffold_audit,medium,scaffold_readiness,internal-linking-as-framework-infrastructure,"Scaffold-readiness score is 0.70, below threshold 0.78.","Review orientation, prerequisites, examples, feedback, transfer support, accessibility, and cognitive-load risk."
manual_review_queue,medium,status,taxonomy-design-for-content-frameworks,Planned prerequisite article should be prioritized before advanced internal-linking material is expanded,Resolve through editorial governance workflow.
manual_review_queue,low,publication,educational-scaffolding-and-the-design-of-learning-systems,Confirm final WordPress attachment ID and repository URL after publication,Resolve through editorial governance workflow.
automated_scaffold_audit,low,sequence,conceptual-models-in-communication,Learning stage appears earlier than the preceding published stage.,Review whether article-map order supports the intended learning pathway.
automated_scaffold_audit,low,sequence,editorial-metadata-and-content-systems,Learning stage appears earlier than the preceding published stage.,Review whether article-map order supports the intended learning pathway.
automated_scaffold_audit,low,sequence,educational-scaffolding-and-the-design-of-learning-systems,Learning stage appears earlier than the preceding published stage.,Review whether article-map order supports the intended learning pathway.
automated_scaffold_audit,low,sequence,frameworks-for-research-communication,Learning stage appears earlier than the preceding published stage.,Review whether article-map order supports the intended learning pathway.
automated_scaffold_audit,low,sequence,internal-linking-as-framework-infrastructure,Learning stage appears earlier than the preceding published stage.,Review whether article-map order supports the intended learning pathway.
