structure_id,structure_name,declared_type,observed_type,inferred_type,declared_matches_observed,inferred_matches_observed,governance_completion,missing_governance_fields,review_status,risk_severity,risk_note,framework_signal,template_signal,model_signal,method_signal,workflow_signal
ST007,Publishing Checklist,template,workflow,template,False,False,1.0,none,declared type mismatch,low,Checklist overlaps with workflow management,0,3,0,3,3
ST004,Content Audit Sheet,template,method,template,False,False,0.7143,use_conditions_documented; review_cycle_defined,declared type mismatch,medium,Template is being used as a method without clear procedure,2,3,0,3,2
ST005,Message House,framework,framework,framework,True,True,1.0,none,risk review required,medium,Can become talking points without evidence review,3,0,2,0,0
ST010,AI Outline Prompt,template,framework,framework,False,True,0.0,purpose_documented; use_conditions_documented; limitations_documented; evidence_alignment_reviewed; ethical_risk_reviewed; owner_assigned; review_cycle_defined,declared type mismatch,high,AI-generated structure may be treated as framework without review,3,3,1,2,0
ST006,Audience Persona,model,model,model,True,True,0.7143,evidence_alignment_reviewed; review_cycle_defined,governance incomplete,high,Can reproduce stereotypes if evidence is weak,2,0,3,0,0
ST002,Article Metadata Block,template,template,template,True,True,1.0,none,ready for managed use,low,May become mechanical if excerpt quality is not reviewed,0,3,0,0,1
ST001,Content Framework Article Map,framework,framework,framework,True,True,1.0,none,ready for managed use,low,May create artificial boundaries if not reviewed,3,0,2,0,0
ST008,Framework Quality Review Method,method,method,framework,True,False,1.0,none,ready for managed use,low,Needs periodic calibration,3,0,1,3,2
ST003,Internal Link Graph,model,model,model,True,True,1.0,none,ready for managed use,low,Graph centrality may overvalue popular nodes,1,0,3,0,0
ST009,Systems Explanation Diagram,model,model,model,True,True,1.0,none,ready for managed use,low,Can hide lived experience if overly abstract,2,0,3,0,0
