source,severity,category,identifier,message,recommended_action
automated_audit,high,risk,ST006,High-risk structure: Can reproduce stereotypes if evidence is weak,"Route to governance review before reuse in publication, AI workflows, or product catalogs."
automated_audit,high,risk,ST010,High-risk structure: AI-generated structure may be treated as framework without review,"Route to governance review before reuse in publication, AI workflows, or product catalogs."
structure_classification,high,structure_review,ST006,Audience Persona status: governance incomplete.,"Review structure type, governance, use conditions, and documented limitations before reuse."
structure_classification,high,structure_review,ST010,AI Outline Prompt status: declared type mismatch.,"Review structure type, governance, use conditions, and documented limitations before reuse."
automated_audit,medium,governance,ST004,Governance completion is 71%.,"Complete purpose, use conditions, limitations, evidence review, ethical review, owner, and review cycle."
automated_audit,medium,governance,ST006,Governance completion is 71%.,"Complete purpose, use conditions, limitations, evidence review, ethical review, owner, and review cycle."
automated_audit,medium,governance,ST010,Governance completion is 0%.,"Complete purpose, use conditions, limitations, evidence review, ethical review, owner, and review cycle."
structure_classification,medium,structure_review,ST004,Content Audit Sheet status: declared type mismatch.,"Review structure type, governance, use conditions, and documented limitations before reuse."
structure_classification,medium,structure_review,ST005,Message House status: risk review required.,"Review structure type, governance, use conditions, and documented limitations before reuse."
structure_classification,medium,structure_review,ST007,Publishing Checklist status: declared type mismatch.,"Review structure type, governance, use conditions, and documented limitations before reuse."
automated_audit,medium,structure_type,ST004,"Declared type is template, but observed type is method.",Review whether the structure is being named and used correctly.
automated_audit,medium,structure_type,ST007,"Declared type is template, but observed type is workflow.",Review whether the structure is being named and used correctly.
automated_audit,medium,structure_type,ST010,"Declared type is template, but observed type is framework.",Review whether the structure is being named and used correctly.
automated_audit,low,classification_signal,ST004,"Inferred type is template, but observed type is method.",Review classification signals and structure documentation.
automated_audit,low,classification_signal,ST007,"Inferred type is template, but observed type is workflow.",Review classification signals and structure documentation.
automated_audit,low,classification_signal,ST008,"Inferred type is framework, but observed type is method.",Review classification signals and structure documentation.
automated_audit,low,links,framework-governance-and-editorial-maintenance,Link target is outside sample article map.,Confirm linked article exists.
automated_audit,low,links,taxonomy-design-for-content-frameworks,Link target is outside sample article map.,Confirm linked article exists.
