catalog_product,series,slug,title,status,article_role,reader_stage,primary_category_count,secondary_category_count,tag_count,taxonomy_metadata_completion,assignment_status,thin_category_count,github_path
Catalyst Canvas,Content Frameworks,what-are-content-frameworks,What Are Content Frameworks,published,definition,foundation,1,0,4,1.0,ready,9,articles/what-are-content-frameworks/
Catalyst Canvas,Content Frameworks,why-frameworks-matter-in-research-education-and-strategic-communication,Why Frameworks Matter in Research Education and Strategic Communication,published,foundation,foundation,1,0,4,1.0,ready,9,articles/why-frameworks-matter-in-research-education-and-strategic-communication/
Catalyst Canvas,Content Frameworks,what-makes-a-powerful-content-framework,What Makes a Powerful Content Framework,published,method,intermediate,1,0,4,1.0,ready,9,articles/what-makes-a-powerful-content-framework/
Catalyst Canvas,Content Frameworks,framework-literacy-and-the-structure-of-usable-knowledge,Framework Literacy and the Structure of Usable Knowledge,published,critique,intermediate,1,0,4,1.0,ready,9,articles/framework-literacy-and-the-structure-of-usable-knowledge/
Catalyst Canvas,Content Frameworks,frameworks-templates-and-models,Frameworks Templates and Models,published,comparison,intermediate,1,0,5,1.0,ready,9,articles/frameworks-templates-and-models/
Catalyst Canvas,Content Frameworks,the-history-of-framework-thinking-in-communication-and-strategy,The History of Framework Thinking in Communication and Strategy,published,history,context,1,0,5,1.0,ready,9,articles/the-history-of-framework-thinking-in-communication-and-strategy/
Catalyst Canvas,Content Frameworks,pillar-pages-and-topic-clusters,Pillar Pages and Topic Clusters,published,pillar,foundation,1,0,4,1.0,ready,9,articles/pillar-pages-and-topic-clusters/
Catalyst Canvas,Content Frameworks,narrative-pathways-and-knowledge-architecture,Narrative Pathways and Knowledge Architecture,published,method,intermediate,1,0,4,1.0,ready,9,articles/narrative-pathways-and-knowledge-architecture/
Catalyst Canvas,Content Frameworks,frameworks-for-digital-knowledge-systems,Frameworks for Digital Knowledge Systems,published,technical,intermediate,1,0,5,1.0,ready,9,articles/frameworks-for-digital-knowledge-systems/
Catalyst Canvas,Content Frameworks,taxonomy-design-for-content-frameworks,Taxonomy Design for Content Frameworks,published,method,intermediate,1,0,6,1.0,ready,9,articles/taxonomy-design-for-content-frameworks/
Catalyst Canvas,Content Frameworks,internal-linking-as-framework-infrastructure,Internal Linking as Framework Infrastructure,planned,technical,intermediate,1,0,4,0.875,ready,9,articles/internal-linking-as-framework-infrastructure/
Catalyst Canvas,Content Frameworks,content-audits-and-framework-governance,Content Audits and Framework Governance,planned,governance,advanced,1,0,4,0.875,ready,9,articles/content-audits-and-framework-governance/
Catalyst Canvas,Content Frameworks,editorial-metadata-and-content-systems,Editorial Metadata and Content Systems,planned,technical,advanced,1,0,4,0.875,ready,9,articles/editorial-metadata-and-content-systems/
Catalyst Canvas,Content Frameworks,framework-governance-and-editorial-maintenance,Framework Governance and Editorial Maintenance,planned,governance,advanced,1,0,4,0.875,ready,9,articles/framework-governance-and-editorial-maintenance/
