"slug","metadata_completion_rate","link_score","evidence_readiness_score","freshness_score","accessibility_readiness_score","title","status","cluster","article_type","governance_notes","duplicate_risk","governance_score","framework_health_score","health_status"
"framework-literacy-and-the-structure-of-usable-knowledge",0,0,0,0,0,"Framework Literacy and the Structure of Usable Knowledge","planned","Foundations","foundational","no","low",0.25,0.0375,"governance review"
"framework-drift-and-conceptual-decay",0,0.166666666666667,0,0,0,"Framework Drift and Conceptual Decay","planned","Framework Composition Scaling and Editorial Governance","governance","no","low",0.25,0.0675,"governance review"
"framework-governance-and-editorial-maintenance",0,0.166666666666667,0,0,0,"Framework Governance and Editorial Maintenance","planned","Framework Composition Scaling and Editorial Governance","governance","no","low",0.25,0.0675,"governance review"
"editorial-metadata-and-content-systems",0,0.166666666666667,0,0,0,"Editorial Metadata and Content Systems","planned","Knowledge Architecture","technical","no","medium",0.25,0.0675,"governance review"
"taxonomy-design-for-content-frameworks",0,0.166666666666667,0,0,0,"Taxonomy Design for Content Frameworks","planned","Knowledge Architecture","method","no","medium",0.25,0.0675,"governance review"
"what-makes-a-powerful-content-framework",0.3,0,0.4833,0.719178082191781,0.25,"What Makes a Powerful Content Framework?","published","Foundations","foundational","no","medium",0.5,0.3789,"governance review"
"narrative-pathways-and-knowledge-architecture",0.8,0,0.4,0.147945205479452,1,"Narrative Pathways and Knowledge Architecture","published","Knowledge Architecture","method","yes","low",1,0.5152,"governance review"
"message-house-and-the-architecture-of-strategic-messaging",0.8,0,0.4833,0.0739726027397261,1,"Message House and the Architecture of Strategic Messaging","published","Audience Need Value Positioning and Message Architecture","strategic","yes","medium",1,0.5192,"governance review"
"frameworks-for-research-communication",0.9,0,0.4,0.172602739726027,1,"Frameworks for Research Communication","published","Educational Research and Conceptual Frameworks","method","yes","low",1,0.5393,"governance review"
"frameworks-for-digital-knowledge-systems",0.9,0.333333333333333,0.4,0,1,"Frameworks for Digital Knowledge Systems","published","Knowledge Architecture","technical","yes","low",1,0.57,"governance review"
"educational-scaffolding-and-the-design-of-learning-systems",1,0,0.4,0.257534246575343,1,"Educational Scaffolding and the Design of Learning Systems","published","Educational Research and Conceptual Frameworks","method","yes","low",1,0.5738,"governance review"
"why-frameworks-matter-in-research-education-and-strategic-communication",1,0,0.4,1,1,"Why Frameworks Matter in Research Education and Strategic Communication","published","Foundations","foundational","yes","low",1,0.7,"governance review"
"what-are-content-frameworks",1,0.166666666666667,0.4,1,1,"What Are Content Frameworks?","published","Foundations","foundational","yes","low",1,0.73,"governance review"
"internal-linking-as-framework-infrastructure",1,0.333333333333333,0.4,1,1,"Internal Linking as Framework Infrastructure","published","Knowledge Architecture","method","yes","low",1,0.76,"governance review"
"pillar-pages-and-topic-clusters",1,0.333333333333333,0.4,1,1,"Pillar Pages and Topic Clusters","published","Knowledge Architecture","method","yes","low",1,0.76,"governance review"
