slug,title,status,cluster,article_type,metadata_score,link_score,evidence_score,freshness_score,governance_score,accessibility_score,framework_health_score,health_status
what-are-content-frameworks,What Are Content Frameworks?,published,Foundations,foundational,1.0,0.1667,0.4,1.0,1.0,1.0,0.73,governance review
why-frameworks-matter-in-research-education-and-strategic-communication,Why Frameworks Matter in Research Education and Strategic Communication,published,Foundations,foundational,1.0,0.0,0.4,1.0,1.0,1.0,0.7,governance review
what-makes-a-powerful-content-framework,What Makes a Powerful Content Framework?,published,Foundations,foundational,0.3,0.0,0.4833,0.7192,0.5,0.25,0.3789,governance review
framework-literacy-and-the-structure-of-usable-knowledge,Framework Literacy and the Structure of Usable Knowledge,planned,Foundations,foundational,0.0,0.0,0.0,0.0,0.25,0.0,0.0375,governance review
pillar-pages-and-topic-clusters,Pillar Pages and Topic Clusters,published,Knowledge Architecture,method,1.0,0.3333,0.4,1.0,1.0,1.0,0.76,governance review
narrative-pathways-and-knowledge-architecture,Narrative Pathways and Knowledge Architecture,published,Knowledge Architecture,method,0.8,0.0,0.4,0.1479,1.0,1.0,0.5151,governance review
frameworks-for-digital-knowledge-systems,Frameworks for Digital Knowledge Systems,published,Knowledge Architecture,technical,0.9,0.3333,0.4,0.0,1.0,1.0,0.57,governance review
taxonomy-design-for-content-frameworks,Taxonomy Design for Content Frameworks,planned,Knowledge Architecture,method,0.0,0.1667,0.0,0.0,0.25,0.0,0.0675,governance review
internal-linking-as-framework-infrastructure,Internal Linking as Framework Infrastructure,published,Knowledge Architecture,method,1.0,0.3333,0.4,1.0,1.0,1.0,0.76,governance review
content-audits-and-framework-governance,Content Audits and Framework Governance,published,Knowledge Architecture,governance,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ready
editorial-metadata-and-content-systems,Editorial Metadata and Content Systems,planned,Knowledge Architecture,technical,0.0,0.1667,0.0,0.0,0.25,0.0,0.0675,governance review
educational-scaffolding-and-the-design-of-learning-systems,Educational Scaffolding and the Design of Learning Systems,published,Educational Research and Conceptual Frameworks,method,1.0,0.0,0.4,0.2575,1.0,1.0,0.5738,governance review
frameworks-for-research-communication,Frameworks for Research Communication,published,Educational Research and Conceptual Frameworks,method,0.9,0.0,0.4,0.1726,1.0,1.0,0.5393,governance review
message-house-and-the-architecture-of-strategic-messaging,Message House and the Architecture of Strategic Messaging,published,Audience Need Value Positioning and Message Architecture,strategic,0.8,0.0,0.4833,0.074,1.0,1.0,0.5192,governance review
framework-governance-and-editorial-maintenance,Framework Governance and Editorial Maintenance,planned,Framework Composition Scaling and Editorial Governance,governance,0.0,0.1667,0.0,0.0,0.25,0.0,0.0675,governance review
framework-drift-and-conceptual-decay,Framework Drift and Conceptual Decay,planned,Framework Composition Scaling and Editorial Governance,governance,0.0,0.1667,0.0,0.0,0.25,0.0,0.0675,governance review
