"slug","title","status","cluster","references","evidence_notes","limitations","evidence_records","high_authority_sources","ready_evidence_records","field_score","register_support","authority_support","readiness_support","evidence_readiness_score","evidence_status"
"content-audits-and-framework-governance","Content Audits and Framework Governance","published","Knowledge Architecture","yes","yes","yes",5,5,5,1,1,1,1,1,"ready"
"editorial-metadata-and-content-systems","Editorial Metadata and Content Systems","planned","Knowledge Architecture","no","no","no",0,0,0,0,0,0,0,0,"needs evidence review"
"educational-scaffolding-and-the-design-of-learning-systems","Educational Scaffolding and the Design of Learning Systems","published","Educational Research and Conceptual Frameworks","yes","yes","yes",0,0,0,1,0,0,0,0.4,"needs evidence review"
"framework-drift-and-conceptual-decay","Framework Drift and Conceptual Decay","planned","Framework Composition Scaling and Editorial Governance","no","no","no",0,0,0,0,0,0,0,0,"needs evidence review"
"framework-governance-and-editorial-maintenance","Framework Governance and Editorial Maintenance","planned","Framework Composition Scaling and Editorial Governance","no","no","no",0,0,0,0,0,0,0,0,"needs evidence review"
"framework-literacy-and-the-structure-of-usable-knowledge","Framework Literacy and the Structure of Usable Knowledge","planned","Foundations","no","no","no",0,0,0,0,0,0,0,0,"needs evidence review"
"frameworks-for-digital-knowledge-systems","Frameworks for Digital Knowledge Systems","published","Knowledge Architecture","yes","yes","yes",0,0,0,1,0,0,0,0.4,"needs evidence review"
"frameworks-for-research-communication","Frameworks for Research Communication","published","Educational Research and Conceptual Frameworks","yes","yes","yes",0,0,0,1,0,0,0,0.4,"needs evidence review"
"internal-linking-as-framework-infrastructure","Internal Linking as Framework Infrastructure","published","Knowledge Architecture","yes","yes","yes",0,0,0,1,0,0,0,0.4,"needs evidence review"
"message-house-and-the-architecture-of-strategic-messaging","Message House and the Architecture of Strategic Messaging","published","Audience Need Value Positioning and Message Architecture","yes","yes","yes",1,0,0,1,0.333333333333333,0,0,0.4833,"needs evidence review"
"narrative-pathways-and-knowledge-architecture","Narrative Pathways and Knowledge Architecture","published","Knowledge Architecture","yes","yes","yes",0,0,0,1,0,0,0,0.4,"needs evidence review"
"pillar-pages-and-topic-clusters","Pillar Pages and Topic Clusters","published","Knowledge Architecture","yes","yes","yes",0,0,0,1,0,0,0,0.4,"needs evidence review"
"taxonomy-design-for-content-frameworks","Taxonomy Design for Content Frameworks","planned","Knowledge Architecture","no","no","no",0,0,0,0,0,0,0,0,"needs evidence review"
"what-are-content-frameworks","What Are Content Frameworks?","published","Foundations","yes","yes","yes",0,0,0,1,0,0,0,0.4,"needs evidence review"
"what-makes-a-powerful-content-framework","What Makes a Powerful Content Framework?","published","Foundations","yes","yes","yes",1,0,0,1,0.333333333333333,0,0,0.4833,"needs evidence review"
"why-frameworks-matter-in-research-education-and-strategic-communication","Why Frameworks Matter in Research Education and Strategic Communication","published","Foundations","yes","yes","yes",0,0,0,1,0,0,0,0.4,"needs evidence review"
