"slug","title","status","article_type","last_reviewed_date","review_cycle_days","content_age_days","freshness_score","freshness_status"
"what-are-content-frameworks","What Are Content Frameworks?","published","foundational","2026-06-08",730,0,1,"fresh"
"why-frameworks-matter-in-research-education-and-strategic-communication","Why Frameworks Matter in Research Education and Strategic Communication","published","foundational","2026-06-08",730,0,1,"fresh"
"what-makes-a-powerful-content-framework","What Makes a Powerful Content Framework?","published","foundational","2025-11-15",730,205,0.719178082191781,"fresh"
"framework-literacy-and-the-structure-of-usable-knowledge","Framework Literacy and the Structure of Usable Knowledge","planned","foundational","",730,9999,0,"review overdue"
"pillar-pages-and-topic-clusters","Pillar Pages and Topic Clusters","published","method","2026-06-08",365,0,1,"fresh"
"narrative-pathways-and-knowledge-architecture","Narrative Pathways and Knowledge Architecture","published","method","2025-08-01",365,311,0.147945205479452,"fresh"
"frameworks-for-digital-knowledge-systems","Frameworks for Digital Knowledge Systems","published","technical","2025-07-20",180,323,0,"review overdue"
"taxonomy-design-for-content-frameworks","Taxonomy Design for Content Frameworks","planned","method","",365,9999,0,"review overdue"
"internal-linking-as-framework-infrastructure","Internal Linking as Framework Infrastructure","published","method","2026-06-08",365,0,1,"fresh"
"content-audits-and-framework-governance","Content Audits and Framework Governance","published","governance","2026-06-08",180,0,1,"fresh"
"editorial-metadata-and-content-systems","Editorial Metadata and Content Systems","planned","technical","",180,9999,0,"review overdue"
"educational-scaffolding-and-the-design-of-learning-systems","Educational Scaffolding and the Design of Learning Systems","published","method","2025-09-10",365,271,0.257534246575343,"fresh"
"frameworks-for-research-communication","Frameworks for Research Communication","published","method","2025-08-10",365,302,0.172602739726027,"fresh"
"message-house-and-the-architecture-of-strategic-messaging","Message House and the Architecture of Strategic Messaging","published","strategic","2025-07-05",365,338,0.0739726027397261,"fresh"
"framework-governance-and-editorial-maintenance","Framework Governance and Editorial Maintenance","planned","governance","",180,9999,0,"review overdue"
"framework-drift-and-conceptual-decay","Framework Drift and Conceptual Decay","planned","governance","",180,9999,0,"review overdue"
