"catalog_product","series","slug","title","cluster","status","article_role","pathway_role","reader_state","network_role","metadata_completion","metadata_status","editorial_status","github_path"
"Catalyst Canvas","Content Frameworks","content-audits-and-framework-governance","Content Audits and Framework Governance","Knowledge Architecture","planned","governance","maintenance","editor","thinly linked article",0,"needs metadata work","planned","articles/content-audits-and-framework-governance/"
"Catalyst Canvas","Content Frameworks","editorial-metadata-and-content-systems","Editorial Metadata and Content Systems","Knowledge Architecture","planned","technical","metadata_systems","editor","connected article",0,"needs metadata work","planned","articles/editorial-metadata-and-content-systems/"
"Catalyst Canvas","Content Frameworks","framework-governance-and-editorial-maintenance","Framework Governance and Editorial Maintenance","Framework Composition Scaling and Editorial Governance","planned","governance","governance","editor","thinly linked article",0,"needs metadata work","planned","articles/framework-governance-and-editorial-maintenance/"
"Catalyst Canvas","Content Frameworks","framework-literacy-and-the-structure-of-usable-knowledge","Framework Literacy and the Structure of Usable Knowledge","Foundations","published","critique","critical_pathway","returning_reader","connected article",1,"ready","ready","articles/framework-literacy-and-the-structure-of-usable-knowledge/"
"Catalyst Canvas","Content Frameworks","frameworks-for-digital-knowledge-systems","Frameworks for Digital Knowledge Systems","Knowledge Architecture","published","technical","digital_systems","practitioner","connected article",1,"ready","ready","articles/frameworks-for-digital-knowledge-systems/"
"Catalyst Canvas","Content Frameworks","frameworks-templates-and-models","Frameworks Templates and Models","Foundations","published","comparison","distinction","practitioner","connected article",1,"ready","ready","articles/frameworks-templates-and-models/"
"Catalyst Canvas","Content Frameworks","internal-linking-as-framework-infrastructure","Internal Linking as Framework Infrastructure","Knowledge Architecture","planned","technical","link_infrastructure","editor","thinly linked article",0,"needs metadata work","planned","articles/internal-linking-as-framework-infrastructure/"
"Catalyst Canvas","Content Frameworks","narrative-pathways-and-knowledge-architecture","Narrative Pathways and Knowledge Architecture","Knowledge Architecture","published","method","pathway_design","practitioner","pathway hub",1,"ready","ready","articles/narrative-pathways-and-knowledge-architecture/"
"Catalyst Canvas","Content Frameworks","pillar-pages-and-topic-clusters","Pillar Pages and Topic Clusters","Knowledge Architecture","published","pillar","architecture","beginner","connected article",1,"ready","ready","articles/pillar-pages-and-topic-clusters/"
"Catalyst Canvas","Content Frameworks","taxonomy-design-for-content-frameworks","Taxonomy Design for Content Frameworks","Knowledge Architecture","planned","method","taxonomy_design","editor","thinly linked article",0,"needs metadata work","planned","articles/taxonomy-design-for-content-frameworks/"
"Catalyst Canvas","Content Frameworks","the-history-of-framework-thinking-in-communication-and-strategy","The History of Framework Thinking in Communication and Strategy","Foundations","published","history","context","researcher","connected article",1,"ready","ready","articles/the-history-of-framework-thinking-in-communication-and-strategy/"
"Catalyst Canvas","Content Frameworks","what-are-content-frameworks","What Are Content Frameworks","Foundations","published","definition","foundation","beginner","connected article",1,"ready","ready","articles/what-are-content-frameworks/"
"Catalyst Canvas","Content Frameworks","what-makes-a-powerful-content-framework","What Makes a Powerful Content Framework","Foundations","published","method","quality_review","practitioner","connected article",1,"ready","ready","articles/what-makes-a-powerful-content-framework/"
"Catalyst Canvas","Content Frameworks","why-frameworks-matter-in-research-education-and-strategic-communication","Why Frameworks Matter in Research Education and Strategic Communication","Foundations","published","foundation","foundation","beginner","connected article",1,"ready","ready","articles/why-frameworks-matter-in-research-education-and-strategic-communication/"
