framework,framework_type,complexity_level,transferability,ethical_risk,knowledge_depth,action_support
Pillar-Cluster Architecture,Knowledge Architecture,0.82,0.86,0.20,0.90,0.78
AIDA,Persuasive Sequence,0.38,0.70,0.46,0.42,0.72
PAS,Persuasive Sequence,0.42,0.62,0.62,0.40,0.70
Jobs to Be Done,Audience Need,0.70,0.78,0.30,0.72,0.76
Value Proposition Canvas,Value Alignment,0.68,0.76,0.28,0.68,0.82
STP,Positioning,0.61,0.72,0.34,0.60,0.78
Message House,Message Architecture,0.72,0.81,0.24,0.76,0.80
SWOT,Strategic Analysis,0.52,0.68,0.22,0.62,0.73
PESTLE,Environmental Analysis,0.66,0.75,0.20,0.74,0.70
Porter's Five Forces,Competitive Analysis,0.74,0.58,0.25,0.71,0.66
Theory of Change,Policy and Impact,0.80,0.77,0.36,0.86,0.84
