framework_id,framework_name,period,lineage,domain,structure_type,primary_function,origin_summary,transferred_across_domains,purpose_documented,use_conditions_documented,limitations_documented,owner_assigned,review_cycle_defined,risk_severity,risk_note
HF001,Classical Rhetorical Arrangement,ancient,rhetorical,Communication,framework,Structure persuasive speech,Organized speech into purposeful stages,yes,yes,yes,yes,yes,yes,medium,Can support public reasoning or manipulation depending on use
HF002,Ethos Pathos Logos,ancient,rhetorical,Communication,framework,Analyze credibility emotion and reason,Classical categories for persuasive appeals,yes,yes,yes,yes,yes,yes,medium,Can be reduced to persuasion tactics without ethical context
HF003,Classification and Taxonomy,ancient_to_modern,logical_classificatory,Knowledge Organization,framework,Group and retrieve knowledge,Long tradition of ordering knowledge into categories,yes,yes,yes,yes,yes,yes,low,Can harden provisional categories into fixed boundaries
HF004,Curriculum Scaffolding,modern,educational,Education,framework,Sequence learning progression,Educational design organized around staged learning,yes,yes,yes,yes,yes,yes,low,Can become rigid if learner variation is ignored
HF005,Scientific Modeling,modern,scientific_modeling,Research,model,Represent relationships and mechanisms,Scientific practice of simplified representation,yes,yes,yes,yes,yes,yes,low,Can be mistaken for reality if assumptions disappear
HF006,SWOT Analysis,modern,strategic_managerial,Strategy,framework,Organize internal and external factors,Management analysis structure for planning,yes,yes,no,yes,yes,no,medium,Can become generic without evidence and prioritization
HF007,Porter Five Forces,modern,strategic_managerial,Strategy,framework,Analyze competitive forces,Industry structure model for competitive strategy,yes,yes,yes,yes,yes,yes,medium,Can overemphasize competition in public value contexts
HF008,AIDA,modern,advertising_persuasive_sequence,Advertising,framework,Sequence audience response,Advertising sequence from attention to action,yes,yes,no,yes,yes,no,high,Can encourage manipulation when agency and context are ignored
HF009,Information Architecture,late_modern,information_architecture,Digital Publishing,framework,Organize digital knowledge environments,Practice of structuring labels navigation and search,yes,yes,yes,yes,yes,yes,low,Can overfit to navigation while missing conceptual depth
HF010,Content Strategy Governance,contemporary,content_strategy_governance,Editorial Systems,framework,Plan govern and maintain content systems,Content strategy and governance practices for scalable publishing,yes,yes,yes,yes,yes,yes,low,Can become process-heavy without editorial judgment
HF011,Metadata Standards,contemporary,knowledge_management_metadata,Knowledge Management,model,Represent managed content attributes,Metadata turns content into governable records,yes,yes,yes,yes,yes,yes,low,Can become mechanical if fields replace interpretation
HF012,Topic Cluster SEO,contemporary,digital_platform,Digital Publishing,framework,Organize content for search and navigation,Digital publishing structure for related articles and pillar pages,yes,yes,yes,yes,yes,yes,medium,Can optimize for search while weakening understanding
HF013,AI Generated Article Map,active,ai_assisted,AI-Assisted Workflows,workflow,Generate candidate content structures,AI-assisted generation of outlines taxonomies and article maps,yes,no,no,no,no,no,high,Can scale generic structures without evidence or governance
