"framework_id","framework_name","domain","primary_use","quality_score","average_quality","readiness_score","maturity_level","governance_status","risk_severity","risk_note"
"FQ001","Research Communication Framework","Research","Move from evidence to interpretation",46,4.6,4.667,"product-ready","ready for managed use","low","Strong if uncertainty and limits remain visible"
"FQ002","Educational Scaffolding","Education","Sequence learning from foundation to application",43,4.3,4,"strong but review","ready for managed use","medium","Can become too rigid if learner differences are ignored"
"FQ003","Message House","Strategic Communication","Align claims proof points and audience messages",37,3.7,3.333,"strong but review","ethical review required","medium","Can become talking points without evidence or agency"
"FQ004","Article Map","Digital Publishing","Organize a knowledge series",46,4.6,4.667,"product-ready","ready for managed use","low","Can become stale without governance"
"FQ005","Content Audit Framework","Editorial Governance","Assess gaps duplication freshness and quality",47,4.7,5,"product-ready","ready for managed use","low","Metrics can replace judgment if used carelessly"
"FQ006","Persuasive Sequence Framework","Communication","Sequence attention interest desire and action",30,3,2.333,"developing","evidence review required","high","High manipulation risk if urgency replaces agency"
"FQ007","Taxonomy Design Framework","Knowledge Architecture","Define categories boundaries and semantic relationships",45,4.5,4.667,"product-ready","ready for managed use","low","Categories may harden into misleading boundaries"
"FQ008","Audience Persona Framework","Audience Research","Represent audience needs and contexts",35,3.5,3,"developing","evidence review required","medium","Can reproduce stereotypes or flatten audience complexity"
"FQ009","Systems Explanation Framework","Public Reasoning","Explain feedback loops interdependence and tradeoffs",45,4.5,4.667,"product-ready","ready for managed use","low","Can become abstract if lived experience is excluded"
"FQ010","Logic Model","Policy and Evaluation","Connect inputs activities outputs outcomes and assumptions",43,4.3,4.333,"strong but review","ready for managed use","medium","Can imply causal certainty if assumptions are weak"
