article_slug,article_title,module_kind,article_stage,manifest,cards,governance_queue,summary
pillar-pages-and-topic-clusters,Pillar Pages and Topic Clusters,knowledge_architecture,active,articles/pillar-pages-and-topic-clusters/canvas/canvas_manifest.json,articles/pillar-pages-and-topic-clusters/canvas/canvas_cards.json,articles/pillar-pages-and-topic-clusters/canvas/governance_queue.json,"Central explanatory pages, supporting articles, internal links, and scalable knowledge architecture."
narrative-pathways-and-knowledge-architecture,Narrative Pathways and Knowledge Architecture,knowledge_architecture,active,articles/narrative-pathways-and-knowledge-architecture/canvas/canvas_manifest.json,articles/narrative-pathways-and-knowledge-architecture/canvas/canvas_cards.json,articles/narrative-pathways-and-knowledge-architecture/canvas/governance_queue.json,How readers move through complex knowledge systems over time.
frameworks-for-digital-knowledge-systems,Frameworks for Digital Knowledge Systems,digital_knowledge_systems,active,articles/frameworks-for-digital-knowledge-systems/canvas/canvas_manifest.json,articles/frameworks-for-digital-knowledge-systems/canvas/canvas_cards.json,articles/frameworks-for-digital-knowledge-systems/canvas/governance_queue.json,"Organizing large digital libraries, archives, publications, and educational platforms."
taxonomy-design-for-content-frameworks,Taxonomy Design for Content Frameworks,taxonomy_design,active,articles/taxonomy-design-for-content-frameworks/canvas/canvas_manifest.json,articles/taxonomy-design-for-content-frameworks/canvas/canvas_cards.json,articles/taxonomy-design-for-content-frameworks/canvas/governance_queue.json,"Categories, tags, hierarchies, semantic relationships, and conceptual boundaries."
internal-linking-as-framework-infrastructure,Internal Linking as Framework Infrastructure,knowledge_architecture,active,articles/internal-linking-as-framework-infrastructure/canvas/canvas_manifest.json,articles/internal-linking-as-framework-infrastructure/canvas/canvas_cards.json,articles/internal-linking-as-framework-infrastructure/canvas/governance_queue.json,"How links create navigational, semantic, and strategic relationships across a knowledge system."
content-audits-and-framework-governance,Content Audits and Framework Governance,governance,active,articles/content-audits-and-framework-governance/canvas/canvas_manifest.json,articles/content-audits-and-framework-governance/canvas/canvas_cards.json,articles/content-audits-and-framework-governance/canvas/governance_queue.json,"Evaluating coverage, gaps, duplication, outdated content, and structural coherence."
editorial-metadata-and-content-systems,Editorial Metadata and Content Systems,metadata,active,articles/editorial-metadata-and-content-systems/canvas/canvas_manifest.json,articles/editorial-metadata-and-content-systems/canvas/canvas_cards.json,articles/editorial-metadata-and-content-systems/canvas/governance_queue.json,"Metadata fields, status tracking, references, excerpts, image metadata, and repository links."
educational-scaffolding-and-the-design-of-learning-systems,Educational Scaffolding and the Design of Learning Systems,learning_systems,active,articles/educational-scaffolding-and-the-design-of-learning-systems/canvas/canvas_manifest.json,articles/educational-scaffolding-and-the-design-of-learning-systems/canvas/canvas_cards.json,articles/educational-scaffolding-and-the-design-of-learning-systems/canvas/governance_queue.json,Sequencing knowledge so learners can build understanding cumulatively.
conceptual-models-in-communication,Conceptual Models in Communication,communication_models,active,articles/conceptual-models-in-communication/canvas/canvas_manifest.json,articles/conceptual-models-in-communication/canvas/canvas_cards.json,articles/conceptual-models-in-communication/canvas/governance_queue.json,"How simplified representations clarify relationships among variables, actors, ideas, and processes."
frameworks-for-research-communication,Frameworks for Research Communication,research_communication,active,articles/frameworks-for-research-communication/canvas/canvas_manifest.json,articles/frameworks-for-research-communication/canvas/canvas_cards.json,articles/frameworks-for-research-communication/canvas/governance_queue.json,"Moving from evidence to interpretation, implication, public understanding, and scholarly synthesis."
curriculum-pathways-and-framework-design,Curriculum Pathways and Framework Design,curriculum_design,active,articles/curriculum-pathways-and-framework-design/canvas/canvas_manifest.json,articles/curriculum-pathways-and-framework-design/canvas/canvas_cards.json,articles/curriculum-pathways-and-framework-design/canvas/governance_queue.json,"How frameworks structure learning progression, prerequisite knowledge, and conceptual depth."
evidence-architecture-in-explanatory-content,Evidence Architecture in Explanatory Content,evidence_architecture,active,articles/evidence-architecture-in-explanatory-content/canvas/canvas_manifest.json,articles/evidence-architecture-in-explanatory-content/canvas/canvas_cards.json,articles/evidence-architecture-in-explanatory-content/canvas/governance_queue.json,"Claims, support, citations, examples, references, authority, and interpretive reliability."
interdisciplinary-frameworks-and-knowledge-bridges,Interdisciplinary Frameworks and Knowledge Bridges,interdisciplinary_bridges,active,articles/interdisciplinary-frameworks-and-knowledge-bridges/canvas/canvas_manifest.json,articles/interdisciplinary-frameworks-and-knowledge-bridges/canvas/canvas_cards.json,articles/interdisciplinary-frameworks-and-knowledge-bridges/canvas/governance_queue.json,Frameworks that connect fields without collapsing their differences.
aida-and-the-logic-of-persuasive-sequence,AIDA and the Logic of Persuasive Sequence,persuasive_sequence,active,articles/aida-and-the-logic-of-persuasive-sequence/canvas/canvas_manifest.json,articles/aida-and-the-logic-of-persuasive-sequence/canvas/canvas_cards.json,articles/aida-and-the-logic-of-persuasive-sequence/canvas/governance_queue.json,"Attention, interest, desire, action, and the limits of linear persuasion models."
pas-bab-and-the-structure-of-tension-and-transformation,"PAS, BAB, and the Structure of Tension and Transformation",persuasive_sequence,active,articles/pas-bab-and-the-structure-of-tension-and-transformation/canvas/canvas_manifest.json,articles/pas-bab-and-the-structure-of-tension-and-transformation/canvas/canvas_cards.json,articles/pas-bab-and-the-structure-of-tension-and-transformation/canvas/governance_queue.json,Problem-agitate-solution and before-after-bridge frameworks.
5w1h-and-the-architecture-of-explanatory-completeness,5W1H and the Architecture of Explanatory Completeness,explanatory_structure,active,articles/5w1h-and-the-architecture-of-explanatory-completeness/canvas/canvas_manifest.json,articles/5w1h-and-the-architecture-of-explanatory-completeness/canvas/canvas_cards.json,articles/5w1h-and-the-architecture-of-explanatory-completeness/canvas/governance_queue.json,"Who, what, when, where, why, and how as a durable explanatory structure."
hierarchy-of-effects-and-communication-response-models,Hierarchy of Effects and Communication Response Models,communication_response_models,active,articles/hierarchy-of-effects-and-communication-response-models/canvas/canvas_manifest.json,articles/hierarchy-of-effects-and-communication-response-models/canvas/canvas_cards.json,articles/hierarchy-of-effects-and-communication-response-models/canvas/governance_queue.json,"Staged models of awareness, attitude, preference, and action."
